"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
440.763553091,72.0,0.0,212.0,23.0,49.0,19.0,163.0,4.0,48.0,19.0,5.0,0.0
470.920062404,82.0,0.0,161.0,45.0,35.0,42.0,126.0,3.0,34.0,42.0,6.0,0.0
490.132038474,86.0,0.0,188.0,28.0,50.0,25.0,138.0,3.0,49.0,25.0,12.0,0.0
411.727228456,70.0,0.0,198.0,31.0,37.0,28.0,161.0,3.0,36.0,28.0,6.0,0.0
436.459143522,75.0,0.0,196.0,34.0,41.0,30.0,155.0,4.0,41.0,30.0,4.0,0.0
496.669983122,85.0,0.0,177.0,46.0,38.0,38.0,139.0,8.0,38.0,38.0,9.0,0.0
550.725380101,98.0,0.0,202.0,45.0,44.0,42.0,158.0,3.0,43.0,42.0,13.0,0.0
398.273734296,67.0,0.0,160.0,23.0,43.0,17.0,117.0,6.0,43.0,17.0,7.0,0.0
375.97501225,62.0,0.0,181.0,28.0,38.0,23.0,143.0,5.0,38.0,23.0,1.0,0.0
426.704519645,69.0,0.0,229.0,31.0,35.0,25.0,194.0,6.0,34.0,25.0,10.0,0.0
521.973882048,92.0,0.0,181.0,43.0,45.0,39.0,136.0,4.0,44.0,39.0,9.0,0.0
472.538487355,81.0,0.0,155.0,31.0,46.0,29.0,109.0,2.0,46.0,29.0,6.0,0.0
398.132186017,65.0,0.0,185.0,25.0,40.0,19.0,145.0,6.0,39.0,19.0,7.0,0.0
393.547027418,63.0,0.0,186.0,32.0,36.0,26.0,150.0,6.0,34.0,26.0,3.0,0.0
513.7590211,87.0,0.0,169.0,42.0,44.0,37.0,125.0,5.0,43.0,37.0,7.0,0.0
412.597127181,70.0,0.0,183.0,35.0,36.0,30.0,147.0,5.0,36.0,30.0,4.0,0.0
372.747973426,62.0,0.0,162.0,28.0,32.0,26.0,130.0,2.0,31.0,26.0,5.0,0.0
392.413509414,66.0,0.0,188.0,33.0,28.0,32.0,160.0,1.0,28.0,32.0,6.0,0.0
475.566355832,83.0,0.0,165.0,45.0,36.0,40.0,129.0,5.0,36.0,40.0,7.0,0.0
249.236577379,37.0,0.0,135.0,11.0,27.0,7.0,108.0,4.0,27.0,7.0,3.0,0.0
357.45728243,59.0,0.0,163.0,21.0,39.0,16.0,124.0,5.0,39.0,16.0,4.0,0.0
407.303183061,69.0,0.0,201.0,22.0,52.0,18.0,149.0,4.0,51.0,18.0,0.0,0.0
412.074804255,70.0,0.0,166.0,41.0,28.0,36.0,138.0,5.0,28.0,36.0,6.0,0.0
495.572218875,87.0,0.0,196.0,47.0,40.0,40.0,156.0,7.0,39.0,40.0,8.0,0.0
382.592260257,64.0,0.0,176.0,30.0,32.0,24.0,144.0,6.0,32.0,24.0,8.0,0.0
400.909954645,68.0,0.0,227.0,28.0,34.0,27.0,193.0,1.0,31.0,27.0,10.0,0.0
483.755340647,85.0,0.0,183.0,40.0,38.0,38.0,145.0,2.0,38.0,38.0,9.0,0.0
454.841104721,79.0,0.0,162.0,43.0,31.0,41.0,131.0,2.0,30.0,41.0,8.0,0.0
380.959903206,64.0,0.0,163.0,37.0,29.0,31.0,134.0,6.0,27.0,31.0,6.0,0.0
493.640517826,83.0,0.0,197.0,33.0,43.0,31.0,154.0,2.0,42.0,31.0,10.0,0.0
519.151086259,92.0,0.0,203.0,35.0,55.0,32.0,148.0,3.0,54.0,32.0,6.0,0.0
440.408573667,76.0,0.0,172.0,34.0,41.0,30.0,131.0,4.0,40.0,30.0,6.0,0.0
492.505476898,85.0,0.0,181.0,35.0,46.0,32.0,135.0,3.0,45.0,32.0,8.0,0.0
401.257831873,68.0,0.0,172.0,17.0,52.0,16.0,120.0,1.0,49.0,16.0,3.0,0.0
474.789180929,83.0,0.0,162.0,33.0,48.0,30.0,114.0,3.0,46.0,30.0,7.0,0.0
469.579717123,82.0,0.0,188.0,34.0,43.0,32.0,145.0,2.0,42.0,32.0,8.0,0.0
420.526726359,72.0,0.0,157.0,34.0,37.0,31.0,120.0,3.0,37.0,31.0,4.0,0.0
302.636250519,48.0,0.0,150.0,18.0,28.0,16.0,122.0,2.0,28.0,16.0,4.0,0.0
499.251383591,88.0,0.0,180.0,42.0,44.0,38.0,136.0,4.0,43.0,38.0,7.0,0.0
553.617521929,99.0,0.0,189.0,47.0,50.0,39.0,139.0,8.0,48.0,39.0,12.0,0.0
489.241765965,86.0,0.0,214.0,31.0,51.0,24.0,163.0,7.0,49.0,24.0,13.0,0.0
450.080939543,78.0,0.0,181.0,26.0,48.0,25.0,133.0,1.0,47.0,25.0,6.0,0.0
513.900286734,91.0,0.0,172.0,48.0,46.0,43.0,126.0,5.0,45.0,43.0,3.0,0.0
464.914214263,81.0,0.0,182.0,37.0,45.0,31.0,137.0,6.0,45.0,31.0,5.0,0.0
174.692719132,22.0,0.0,128.0,7.0,16.0,5.0,112.0,2.0,15.0,5.0,2.0,0.0
361.436767063,60.0,0.0,153.0,25.0,35.0,23.0,118.0,2.0,34.0,23.0,3.0,0.0
405.79297994,69.0,0.0,176.0,16.0,49.0,14.0,127.0,2.0,49.0,14.0,6.0,0.0
