"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
3880.014278339,120.0,0.0,255.0,79.0,40.0,74.0,215.0,5.0,40.0,74.0,6.0,0.0
2913.992553046,90.0,0.0,264.0,52.0,35.0,46.0,229.0,6.0,34.0,46.0,10.0,0.0
2828.352003041,87.0,0.0,252.0,59.0,29.0,51.0,223.0,8.0,28.0,51.0,8.0,0.0
2638.936549806,81.0,0.0,233.0,52.0,34.0,43.0,199.0,9.0,32.0,43.0,6.0,0.0
3508.065166066,109.0,0.0,240.0,67.0,38.0,63.0,202.0,4.0,37.0,63.0,9.0,0.0
3443.018555323,107.0,0.0,270.0,66.0,41.0,54.0,229.0,12.0,41.0,54.0,12.0,0.0
3055.788937561,94.0,0.0,241.0,49.0,46.0,43.0,195.0,6.0,44.0,43.0,7.0,0.0
3167.851349597,98.0,0.0,226.0,48.0,42.0,45.0,184.0,3.0,42.0,45.0,11.0,0.0
2593.103092217,80.0,0.0,244.0,38.0,35.0,32.0,209.0,6.0,34.0,32.0,14.0,0.0
3638.902910166,113.0,0.0,240.0,66.0,43.0,63.0,197.0,3.0,41.0,63.0,9.0,0.0
