"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
2662.631042549,195.0,142.0,182.0,14.0,41.0,10.0,141.0,4.0,41.0,10.0,2.0,0.0
2716.445614833,199.0,151.0,196.0,18.0,29.0,14.0,167.0,4.0,29.0,14.0,5.0,0.0
2705.427536608,198.0,150.0,166.0,10.0,39.0,7.0,127.0,3.0,38.0,7.0,3.0,0.0
2788.921860522,205.0,160.0,173.0,21.0,27.0,18.0,146.0,3.0,26.0,18.0,1.0,0.0
2620.055779353,192.0,140.0,165.0,15.0,35.0,13.0,130.0,2.0,35.0,13.0,4.0,0.0
2580.642930834,190.0,146.0,187.0,11.0,26.0,9.0,161.0,2.0,26.0,9.0,9.0,0.0
2562.057527439,188.0,154.0,160.0,7.0,26.0,6.0,134.0,1.0,25.0,6.0,3.0,0.0
2767.351235877,203.0,167.0,170.0,6.0,32.0,6.0,138.0,0.0,30.0,6.0,0.0,0.0
2766.341320152,204.0,159.0,186.0,17.0,32.0,12.0,154.0,5.0,32.0,12.0,1.0,0.0
2655.949645867,196.0,147.0,187.0,10.0,42.0,5.0,145.0,5.0,40.0,5.0,4.0,0.0
3023.408883455,224.0,168.0,166.0,18.0,36.0,16.0,130.0,2.0,36.0,16.0,4.0,0.0
2877.443521531,212.0,169.0,159.0,14.0,33.0,9.0,126.0,5.0,33.0,9.0,1.0,0.0
2619.403850717,193.0,156.0,184.0,5.0,35.0,3.0,149.0,2.0,33.0,3.0,1.0,0.0
2629.780327569,193.0,148.0,166.0,12.0,36.0,7.0,130.0,5.0,34.0,7.0,4.0,0.0
3018.193566476,223.0,176.0,188.0,8.0,35.0,7.0,153.0,1.0,35.0,7.0,5.0,0.0
2847.746432507,210.0,152.0,183.0,19.0,35.0,16.0,148.0,3.0,35.0,16.0,7.0,0.0
2661.134762247,196.0,144.0,192.0,11.0,43.0,9.0,149.0,2.0,41.0,9.0,2.0,0.0
2695.993516481,198.0,155.0,166.0,13.0,27.0,10.0,139.0,3.0,27.0,10.0,6.0,0.0
2672.576900753,196.0,146.0,186.0,11.0,42.0,5.0,144.0,6.0,42.0,5.0,3.0,0.0
2776.033915125,204.0,147.0,183.0,20.0,37.0,16.0,146.0,4.0,37.0,16.0,4.0,0.0
2778.393091081,204.0,151.0,203.0,13.0,43.0,7.0,160.0,6.0,43.0,7.0,3.0,0.0
2921.211021381,215.0,177.0,138.0,7.0,30.0,5.0,108.0,2.0,30.0,5.0,3.0,0.0
2703.32840873,198.0,176.0,159.0,6.0,15.0,4.0,144.0,2.0,14.0,4.0,4.0,0.0
2466.099271181,181.0,140.0,184.0,7.0,33.0,5.0,151.0,2.0,32.0,5.0,4.0,0.0
2515.046114585,185.0,137.0,213.0,14.0,38.0,8.0,175.0,6.0,38.0,8.0,2.0,0.0
2782.283316119,205.0,162.0,181.0,12.0,34.0,11.0,147.0,1.0,32.0,11.0,0.0,0.0
2445.394368576,179.0,144.0,166.0,6.0,30.0,4.0,136.0,2.0,30.0,4.0,1.0,0.0
2470.402004708,181.0,131.0,179.0,14.0,35.0,11.0,144.0,3.0,34.0,11.0,5.0,0.0
2416.816311197,176.0,140.0,173.0,8.0,30.0,6.0,143.0,2.0,30.0,6.0,0.0,0.0
2747.237990759,202.0,156.0,183.0,8.0,36.0,7.0,147.0,1.0,36.0,7.0,3.0,0.0
2782.209550089,205.0,163.0,173.0,11.0,31.0,7.0,142.0,4.0,31.0,7.0,4.0,0.0
2985.450621457,220.0,172.0,162.0,17.0,29.0,13.0,133.0,4.0,29.0,13.0,6.0,0.0
2591.945609942,190.0,137.0,188.0,15.0,39.0,12.0,149.0,3.0,38.0,12.0,3.0,0.0
3038.159686486,224.0,171.0,169.0,12.0,41.0,10.0,128.0,2.0,39.0,10.0,4.0,0.0
2828.296667859,208.0,153.0,194.0,13.0,40.0,10.0,154.0,3.0,39.0,10.0,6.0,0.0
2305.035028272,168.0,137.0,214.0,6.0,26.0,3.0,188.0,3.0,25.0,3.0,3.0,0.0
2356.208289008,171.0,136.0,196.0,11.0,26.0,6.0,170.0,5.0,26.0,6.0,3.0,0.0
2637.809926476,194.0,144.0,181.0,19.0,31.0,16.0,150.0,3.0,30.0,16.0,4.0,0.0
2410.688373641,176.0,133.0,176.0,15.0,32.0,10.0,144.0,5.0,32.0,10.0,1.0,0.0
2495.042855483,183.0,150.0,154.0,3.0,29.0,2.0,125.0,1.0,29.0,2.0,2.0,0.0
2648.675640125,194.0,138.0,178.0,18.0,41.0,15.0,137.0,3.0,40.0,15.0,1.0,0.0
2876.92079348,212.0,155.0,211.0,20.0,33.0,16.0,178.0,4.0,33.0,16.0,8.0,0.0
2702.345217287,199.0,159.0,177.0,9.0,29.0,7.0,148.0,2.0,29.0,7.0,4.0,0.0
2424.439292268,178.0,146.0,192.0,9.0,22.0,8.0,170.0,1.0,22.0,8.0,2.0,0.0
3171.120437694,234.0,178.0,196.0,21.0,37.0,17.0,159.0,4.0,37.0,17.0,2.0,0.0
2767.571954879,202.0,154.0,172.0,11.0,36.0,8.0,136.0,3.0,36.0,8.0,4.0,0.0
2790.766780678,205.0,150.0,173.0,25.0,35.0,18.0,138.0,7.0,35.0,18.0,2.0,0.0
2412.323313901,177.0,137.0,178.0,5.0,34.0,5.0,144.0,0.0,34.0,5.0,1.0,0.0
2449.889094438,178.0,132.0,212.0,17.0,31.0,13.0,181.0,4.0,30.0,13.0,3.0,0.0
2568.369311108,188.0,139.0,197.0,17.0,33.0,13.0,164.0,4.0,32.0,13.0,4.0,0.0
