"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
845.985420029,212.0,139.0,161.0,38.0,30.0,35.0,131.0,3.0,29.0,35.0,9.0,0.0
777.433701453,200.0,150.0,138.0,24.0,30.0,20.0,108.0,4.0,28.0,20.0,2.0,0.0
854.129303759,221.0,149.0,135.0,38.0,31.0,37.0,104.0,1.0,30.0,37.0,5.0,0.0
916.748156795,239.0,169.0,133.0,39.0,34.0,37.0,99.0,2.0,32.0,37.0,1.0,0.0
861.969990052,220.0,145.0,153.0,28.0,45.0,26.0,108.0,2.0,44.0,26.0,5.0,0.0
900.059506355,231.0,149.0,148.0,44.0,36.0,40.0,112.0,4.0,34.0,40.0,8.0,0.0
814.50594646,209.0,138.0,124.0,39.0,31.0,35.0,93.0,4.0,31.0,35.0,5.0,0.0
861.006671444,223.0,153.0,161.0,30.0,38.0,26.0,123.0,4.0,37.0,26.0,7.0,0.0
798.72515409,205.0,140.0,154.0,27.0,40.0,24.0,114.0,3.0,39.0,24.0,2.0,0.0
880.514955845,228.0,170.0,141.0,25.0,38.0,23.0,103.0,2.0,34.0,23.0,1.0,0.0
900.22909186,234.0,161.0,139.0,32.0,32.0,29.0,107.0,3.0,32.0,29.0,12.0,0.0
843.32147556,219.0,156.0,136.0,27.0,37.0,23.0,99.0,4.0,34.0,23.0,6.0,0.0
889.198768029,231.0,161.0,161.0,27.0,42.0,26.0,119.0,1.0,40.0,26.0,4.0,0.0
924.798713253,239.0,180.0,141.0,23.0,35.0,20.0,106.0,3.0,33.0,20.0,6.0,0.0
838.465421853,216.0,147.0,141.0,32.0,35.0,31.0,106.0,1.0,34.0,31.0,4.0,0.0
822.778716115,212.0,149.0,151.0,29.0,32.0,27.0,119.0,2.0,30.0,27.0,6.0,0.0
848.607075451,220.0,162.0,157.0,15.0,42.0,13.0,115.0,2.0,41.0,13.0,4.0,0.0
892.707642622,231.0,158.0,156.0,30.0,43.0,29.0,113.0,1.0,39.0,29.0,5.0,0.0
964.821009826,250.0,182.0,143.0,39.0,27.0,37.0,116.0,2.0,23.0,37.0,8.0,0.0
824.774886315,212.0,149.0,184.0,26.0,40.0,22.0,144.0,4.0,38.0,22.0,3.0,0.0
757.569448557,194.0,142.0,120.0,34.0,22.0,30.0,98.0,4.0,21.0,30.0,1.0,0.0
811.793766727,208.0,142.0,146.0,34.0,30.0,31.0,116.0,3.0,29.0,31.0,6.0,0.0
846.785861857,218.0,150.0,143.0,35.0,33.0,33.0,110.0,2.0,28.0,33.0,7.0,0.0
789.379444007,200.0,135.0,136.0,36.0,28.0,31.0,108.0,5.0,24.0,31.0,10.0,0.0
861.687051114,223.0,150.0,146.0,31.0,40.0,30.0,106.0,1.0,39.0,30.0,4.0,0.0
828.181834817,213.0,143.0,147.0,28.0,43.0,25.0,104.0,3.0,38.0,25.0,7.0,0.0
859.724619851,223.0,166.0,149.0,26.0,34.0,22.0,115.0,4.0,30.0,22.0,5.0,0.0
781.840406111,201.0,136.0,150.0,23.0,41.0,22.0,109.0,1.0,37.0,22.0,6.0,0.0
901.597251391,233.0,137.0,148.0,53.0,48.0,48.0,100.0,5.0,46.0,48.0,2.0,0.0
822.2193368,211.0,142.0,143.0,32.0,38.0,29.0,105.0,3.0,35.0,29.0,5.0,0.0
805.996788879,207.0,139.0,140.0,32.0,40.0,30.0,100.0,2.0,36.0,30.0,2.0,0.0
783.620963853,200.0,139.0,126.0,34.0,25.0,32.0,101.0,2.0,24.0,32.0,5.0,0.0
830.739761074,214.0,151.0,141.0,24.0,38.0,22.0,103.0,2.0,36.0,22.0,5.0,0.0
917.774416048,237.0,159.0,156.0,35.0,49.0,31.0,107.0,4.0,42.0,31.0,5.0,0.0
827.740177718,213.0,153.0,152.0,21.0,38.0,17.0,114.0,4.0,37.0,17.0,6.0,0.0
782.740119977,200.0,133.0,122.0,40.0,23.0,38.0,99.0,2.0,22.0,38.0,7.0,0.0
798.189504319,204.0,131.0,180.0,23.0,45.0,23.0,135.0,0.0,41.0,23.0,9.0,0.0
796.585339399,204.0,138.0,130.0,35.0,33.0,32.0,97.0,3.0,32.0,32.0,2.0,0.0
946.053512829,244.0,160.0,146.0,40.0,44.0,37.0,102.0,3.0,43.0,37.0,4.0,0.0
942.42666281,240.0,167.0,136.0,37.0,36.0,33.0,100.0,4.0,35.0,33.0,5.0,0.0
832.818625683,212.0,143.0,131.0,37.0,30.0,34.0,101.0,3.0,29.0,34.0,6.0,0.0
831.783371303,211.0,156.0,127.0,24.0,32.0,20.0,95.0,4.0,30.0,20.0,5.0,0.0
922.999380398,238.0,160.0,154.0,39.0,41.0,35.0,113.0,4.0,37.0,35.0,6.0,0.0
905.852965874,235.0,153.0,126.0,38.0,37.0,37.0,89.0,1.0,37.0,37.0,8.0,0.0
853.99121263,218.0,158.0,126.0,26.0,31.0,25.0,95.0,1.0,31.0,25.0,4.0,0.0
857.258861658,221.0,147.0,176.0,36.0,44.0,32.0,132.0,4.0,38.0,32.0,4.0,0.0
825.347185396,212.0,153.0,123.0,28.0,26.0,26.0,97.0,2.0,25.0,26.0,8.0,0.0
838.405072455,215.0,146.0,150.0,28.0,43.0,25.0,107.0,3.0,41.0,25.0,3.0,0.0
774.748020374,197.0,134.0,164.0,27.0,39.0,26.0,125.0,1.0,36.0,26.0,1.0,0.0
834.376152645,214.0,150.0,139.0,24.0,38.0,22.0,101.0,2.0,37.0,22.0,5.0,0.0
