"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
795.024618377,201.0,131.0,151.0,28.0,40.0,25.0,111.0,3.0,39.0,25.0,6.0,0.0
851.285418155,220.0,150.0,126.0,36.0,34.0,31.0,92.0,5.0,32.0,31.0,7.0,0.0
892.688260409,231.0,159.0,123.0,42.0,30.0,37.0,93.0,5.0,29.0,37.0,6.0,0.0
856.596706954,221.0,147.0,153.0,29.0,47.0,25.0,106.0,4.0,45.0,25.0,4.0,0.0
918.963374335,239.0,184.0,124.0,20.0,37.0,15.0,87.0,5.0,37.0,15.0,3.0,0.0
831.261715124,215.0,162.0,145.0,18.0,36.0,15.0,109.0,3.0,35.0,15.0,3.0,0.0
816.189642307,210.0,150.0,157.0,28.0,33.0,23.0,124.0,5.0,33.0,23.0,4.0,0.0
913.011311171,237.0,172.0,157.0,35.0,25.0,33.0,132.0,2.0,23.0,33.0,9.0,0.0
806.785228698,208.0,150.0,139.0,24.0,35.0,19.0,104.0,5.0,35.0,19.0,4.0,0.0
880.822326266,228.0,154.0,166.0,37.0,35.0,31.0,131.0,6.0,33.0,31.0,10.0,0.0
862.065811667,223.0,147.0,155.0,32.0,44.0,31.0,111.0,1.0,42.0,31.0,3.0,0.0
806.940912426,208.0,143.0,140.0,27.0,38.0,25.0,102.0,2.0,37.0,25.0,3.0,0.0
811.687106502,209.0,143.0,139.0,33.0,37.0,28.0,102.0,5.0,36.0,28.0,2.0,0.0
765.68580595,196.0,140.0,152.0,24.0,35.0,17.0,117.0,7.0,35.0,17.0,4.0,0.0
862.153936627,223.0,156.0,144.0,26.0,47.0,20.0,97.0,6.0,45.0,20.0,2.0,0.0
869.530996184,225.0,152.0,141.0,40.0,33.0,33.0,108.0,7.0,32.0,33.0,8.0,0.0
823.592202518,212.0,148.0,136.0,40.0,26.0,32.0,110.0,8.0,26.0,32.0,6.0,0.0
876.767371511,227.0,152.0,148.0,37.0,44.0,31.0,104.0,6.0,41.0,31.0,3.0,0.0
832.171177641,215.0,161.0,150.0,23.0,33.0,15.0,117.0,8.0,33.0,15.0,6.0,0.0
961.245306412,250.0,157.0,161.0,50.0,45.0,40.0,116.0,10.0,44.0,40.0,9.0,0.0
774.134232146,199.0,149.0,126.0,21.0,29.0,19.0,97.0,2.0,28.0,19.0,3.0,0.0
848.180411404,219.0,146.0,154.0,33.0,38.0,26.0,116.0,7.0,35.0,26.0,12.0,0.0
882.312749874,228.0,152.0,135.0,38.0,40.0,31.0,95.0,7.0,40.0,31.0,5.0,0.0
921.487739907,238.0,161.0,144.0,32.0,46.0,28.0,98.0,4.0,45.0,28.0,4.0,0.0
811.904455996,209.0,140.0,144.0,38.0,29.0,33.0,115.0,5.0,28.0,33.0,8.0,0.0
840.302371054,217.0,146.0,150.0,37.0,35.0,29.0,115.0,8.0,35.0,29.0,7.0,0.0
796.282672602,205.0,147.0,124.0,22.0,35.0,18.0,89.0,4.0,35.0,18.0,5.0,0.0
844.53344342,218.0,144.0,151.0,36.0,37.0,28.0,114.0,8.0,37.0,28.0,9.0,0.0
813.261466949,209.0,139.0,130.0,35.0,32.0,34.0,98.0,1.0,31.0,34.0,5.0,0.0
857.927145209,222.0,154.0,146.0,34.0,35.0,28.0,111.0,6.0,34.0,28.0,6.0,0.0
823.694971796,212.0,135.0,141.0,37.0,33.0,33.0,108.0,4.0,32.0,33.0,12.0,0.0
842.117473485,217.0,143.0,156.0,35.0,39.0,30.0,117.0,5.0,37.0,30.0,7.0,0.0
808.546500513,208.0,141.0,151.0,42.0,30.0,35.0,121.0,7.0,29.0,35.0,3.0,0.0
901.539292935,234.0,159.0,167.0,27.0,52.0,20.0,115.0,7.0,50.0,20.0,5.0,0.0
889.390588129,230.0,144.0,143.0,44.0,40.0,38.0,103.0,6.0,39.0,38.0,9.0,0.0
773.434461164,198.0,137.0,132.0,30.0,34.0,26.0,98.0,4.0,34.0,26.0,1.0,0.0
834.921001399,215.0,139.0,140.0,42.0,33.0,38.0,107.0,4.0,32.0,38.0,6.0,0.0
779.893435887,200.0,135.0,160.0,22.0,40.0,18.0,120.0,4.0,40.0,18.0,7.0,0.0
800.999259231,206.0,151.0,132.0,25.0,32.0,22.0,100.0,3.0,31.0,22.0,2.0,0.0
903.497562932,234.0,167.0,147.0,38.0,33.0,29.0,114.0,9.0,32.0,29.0,6.0,0.0
715.217469878,182.0,131.0,138.0,26.0,29.0,20.0,109.0,6.0,28.0,20.0,3.0,0.0
833.990968558,215.0,149.0,141.0,37.0,31.0,30.0,110.0,7.0,29.0,30.0,7.0,0.0
814.947619654,210.0,153.0,140.0,26.0,30.0,23.0,110.0,3.0,29.0,23.0,5.0,0.0
900.991016773,234.0,175.0,126.0,32.0,22.0,29.0,104.0,3.0,19.0,29.0,11.0,0.0
749.036165163,191.0,139.0,166.0,21.0,38.0,15.0,128.0,6.0,36.0,15.0,1.0,0.0
873.665324174,226.0,157.0,156.0,34.0,39.0,27.0,117.0,7.0,38.0,27.0,4.0,0.0
859.368690272,222.0,142.0,170.0,39.0,45.0,31.0,125.0,8.0,45.0,31.0,4.0,0.0
802.300034586,206.0,130.0,182.0,43.0,35.0,33.0,147.0,10.0,33.0,33.0,10.0,0.0
871.504103417,225.0,141.0,138.0,45.0,38.0,38.0,100.0,7.0,37.0,38.0,9.0,0.0
816.171741766,210.0,136.0,156.0,32.0,43.0,26.0,113.0,6.0,39.0,26.0,9.0,0.0
