"x1","x2","x3"
1629.716068743,242.0,77.0
1317.257780805,197.0,81.0
1343.546736512,200.0,70.0
1271.831726623,190.0,66.0
1520.644817234,228.0,75.0
1295.973678281,193.0,80.0
1414.053730538,211.0,82.0
1356.897529421,202.0,66.0
1329.833196519,198.0,83.0
1437.270283336,214.0,72.0
1237.488400679,185.0,84.0
1310.627463624,196.0,77.0
1587.74109574,237.0,78.0
1350.606851423,201.0,73.0
1610.017428427,240.0,88.0
1382.870815288,206.0,68.0
1334.71362773,199.0,67.0
1567.734793094,234.0,87.0
932.825543263,139.0,67.0
1165.946128242,174.0,67.0
1321.174685995,197.0,72.0
1517.515166192,226.0,78.0
1612.380304712,241.0,81.0
1355.798893432,203.0,80.0
1026.670190372,153.0,82.0
1103.710802115,163.0,83.0
1322.979035949,197.0,74.0
1596.039360289,239.0,75.0
1443.012001348,216.0,74.0
1343.40617092,201.0,70.0
1363.507621707,204.0,67.0
1522.266704145,228.0,87.0
1265.161585829,189.0,65.0
1411.853284702,211.0,71.0
1325.232520043,198.0,77.0
1026.694562946,153.0,65.0
1456.877519962,219.0,80.0
1546.75254753,231.0,78.0
1528.853437641,229.0,94.0
1361.880472975,201.0,71.0
1479.199311865,210.0,75.0
1087.62449108,170.0,67.0
1521.840286696,239.0,83.0
1328.190452525,196.0,81.0
1365.355146109,202.0,78.0
1385.644904369,205.0,70.0
1560.486217469,240.0,76.0
1483.202608615,235.0,61.0
1053.339390696,170.0,75.0
902.832873515,146.0,71.0
