"x1","x2","x3","x4","x5"
5366.275781724,250.0,250.0,250.0,0.0
6382.611762132,299.0,299.0,299.0,0.0
5564.730621605,260.0,260.0,260.0,0.0
4989.262827405,233.0,233.0,233.0,0.0
6170.267980864,289.0,289.0,289.0,0.0
5617.186506944,263.0,263.0,263.0,0.0
5428.959316782,254.0,254.0,254.0,0.0
5804.213411127,272.0,272.0,272.0,0.0
5481.783167387,257.0,257.0,257.0,0.0
5952.12526728,279.0,279.0,279.0,0.0
5738.221440537,269.0,269.0,269.0,0.0
6334.737794683,297.0,297.0,297.0,0.0
5657.128972727,265.0,265.0,265.0,0.0
6474.438307381,304.0,304.0,304.0,0.0
5595.922051827,262.0,262.0,262.0,0.0
5479.912883991,257.0,257.0,257.0,0.0
6261.102140558,294.0,294.0,294.0,0.0
5648.917744461,265.0,265.0,265.0,0.0
6005.93807766,282.0,282.0,282.0,0.0
5543.29587635,260.0,260.0,260.0,0.0
6010.996659116,282.0,282.0,282.0,0.0
4808.334733494,225.0,225.0,225.0,0.0
5692.496399613,267.0,267.0,267.0,0.0
6160.187635119,289.0,289.0,289.0,0.0
6007.607344643,282.0,282.0,282.0,0.0
