"x1","x2","x3"
1038.157321947,212.0,164.0
1008.767939195,208.0,153.0
1018.277776657,210.0,149.0
917.525869495,187.0,132.0
1113.002555217,230.0,171.0
1230.840531014,255.0,168.0
1056.217885191,218.0,156.0
1192.287721781,247.0,171.0
995.327715509,206.0,143.0
883.820636826,180.0,125.0
985.249425949,201.0,161.0
997.619757707,203.0,155.0
1070.467715491,219.0,145.0
997.847366968,203.0,155.0
822.008204463,167.0,135.0
930.476115394,191.0,145.0
1000.226801474,207.0,148.0
942.475770502,194.0,142.0
856.623962749,175.0,125.0
794.388343407,161.0,140.0
950.539027095,194.0,141.0
1075.076897455,223.0,172.0
994.820462882,204.0,143.0
907.854849755,186.0,144.0
1040.628135465,215.0,163.0
1072.118361524,223.0,170.0
1008.534361151,207.0,135.0
1084.910411933,225.0,163.0
972.817285873,200.0,145.0
1091.393434635,224.0,171.0
889.441072691,178.0,136.0
864.418626654,174.0,151.0
804.221365495,163.0,127.0
985.213959601,202.0,141.0
1124.848070102,232.0,155.0
965.598876061,197.0,150.0
1172.848159669,244.0,158.0
958.509588996,198.0,147.0
1134.214794589,236.0,153.0
1079.93360856,223.0,157.0
941.136296276,191.0,148.0
947.925109397,193.0,153.0
1064.231371338,219.0,150.0
970.811378164,199.0,152.0
999.973802433,205.0,157.0
934.136109371,192.0,131.0
965.888126207,199.0,148.0
906.620930014,186.0,148.0
938.544438075,193.0,147.0
961.865283859,198.0,140.0
