"x1","x2","x3","x4","x5"
4851.335865094,358.0,213.0,213.0,145.0
4267.18330092,316.0,176.0,176.0,140.0
4034.754031284,298.0,167.0,167.0,131.0
4628.911622293,344.0,188.0,188.0,156.0
4065.493391284,301.0,178.0,178.0,123.0
4948.387730246,368.0,196.0,196.0,172.0
4488.334210557,332.0,193.0,193.0,139.0
4824.639287493,359.0,196.0,196.0,163.0
4658.181562523,346.0,194.0,194.0,152.0
4612.415461915,342.0,201.0,201.0,141.0
4555.601906543,339.0,202.0,202.0,137.0
4553.035337129,338.0,187.0,187.0,151.0
4628.137011866,344.0,186.0,186.0,158.0
4512.630801066,335.0,178.0,178.0,157.0
4637.698939718,345.0,195.0,195.0,150.0
4421.075464792,329.0,180.0,180.0,149.0
4069.69720163,302.0,160.0,160.0,142.0
4321.135368523,319.0,169.0,169.0,150.0
4379.748753996,325.0,176.0,176.0,149.0
4779.325560184,355.0,200.0,200.0,155.0
4612.701987,342.0,179.0,179.0,163.0
4360.908477174,324.0,169.0,169.0,155.0
4868.65989465,362.0,198.0,198.0,164.0
4741.498563972,353.0,214.0,214.0,139.0
4140.892438071,307.0,168.0,168.0,139.0
4057.072967859,301.0,164.0,164.0,137.0
4482.233140493,332.0,196.0,196.0,136.0
4996.106627141,371.0,221.0,221.0,150.0
4483.338022929,333.0,176.0,176.0,157.0
4604.199103086,342.0,204.0,204.0,138.0
4289.745493641,319.0,176.0,176.0,143.0
4626.680298127,345.0,202.0,202.0,143.0
4418.530471774,328.0,198.0,198.0,130.0
4506.750786451,334.0,188.0,188.0,146.0
4249.678063682,315.0,184.0,184.0,131.0
4415.931603611,328.0,173.0,173.0,155.0
4831.733841827,358.0,191.0,191.0,167.0
4784.683654505,355.0,205.0,205.0,150.0
4786.306933728,356.0,199.0,199.0,157.0
4629.141259202,344.0,182.0,182.0,162.0
4485.315626839,332.0,193.0,193.0,139.0
4673.910869513,347.0,203.0,203.0,144.0
4393.088824036,326.0,188.0,188.0,138.0
4636.900192872,344.0,201.0,201.0,143.0
4551.40674263,338.0,187.0,187.0,151.0
4548.354101324,337.0,191.0,191.0,146.0
4533.020114494,337.0,191.0,191.0,146.0
4084.604345209,303.0,163.0,163.0,140.0
4669.787647578,347.0,211.0,211.0,136.0
4285.963748272,318.0,182.0,182.0,136.0
