"x1","x2","x3"
1267.983723612,324.0,158.0
1139.98270783,294.0,138.0
1224.403950618,317.0,144.0
1245.820935473,327.0,140.0
1262.658065907,329.0,138.0
1109.134321678,286.0,115.0
1200.45462172,313.0,137.0
1170.355484963,308.0,129.0
1189.164544667,312.0,169.0
1254.556387378,327.0,161.0
1205.280068977,312.0,151.0
1197.858284543,311.0,146.0
1254.74463753,327.0,160.0
1192.892614217,312.0,148.0
1150.731902404,299.0,155.0
1186.721313857,308.0,153.0
1238.367040269,325.0,158.0
1174.09624977,307.0,145.0
1189.125639297,313.0,140.0
1075.984960802,277.0,119.0
1288.582755901,336.0,158.0
1197.231357169,314.0,138.0
1138.376518925,298.0,138.0
1194.902442387,313.0,146.0
1339.063730992,349.0,168.0
1204.397806367,312.0,141.0
1181.308531857,308.0,160.0
1204.935263196,315.0,174.0
1233.582495185,322.0,164.0
1217.594187953,317.0,140.0
1233.8681607,323.0,155.0
1266.234963975,332.0,152.0
1147.629680939,297.0,144.0
1203.624720815,315.0,147.0
1231.379252027,320.0,148.0
1163.050834838,305.0,146.0
1316.655251699,341.0,156.0
1282.161348533,337.0,158.0
1127.450853972,291.0,148.0
1161.531038759,306.0,160.0
1169.127131513,307.0,141.0
1168.760094015,306.0,141.0
1282.988543117,335.0,148.0
1148.248940416,300.0,138.0
1206.20142656,315.0,152.0
1287.118120722,336.0,150.0
1168.415406213,302.0,138.0
1196.260142958,313.0,136.0
1259.344550071,326.0,147.0
1301.135815504,340.0,166.0
