"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
837.871926945,169.0,146.0,30.0,14.0,11.0,11.0,19.0,3.0,10.0,11.0,2.0,0.0
940.31976039,194.0,160.0,40.0,13.0,16.0,13.0,24.0,0.0,16.0,13.0,5.0,0.0
827.874425877,169.0,136.0,44.0,16.0,16.0,16.0,28.0,0.0,15.0,16.0,2.0,0.0
999.481037589,204.0,174.0,55.0,13.0,17.0,12.0,38.0,1.0,17.0,12.0,1.0,0.0
984.040382906,202.0,155.0,87.0,12.0,33.0,12.0,54.0,0.0,31.0,12.0,4.0,0.0
869.093743016,178.0,145.0,56.0,11.0,25.0,9.0,31.0,2.0,23.0,9.0,1.0,0.0
1041.447375298,214.0,172.0,71.0,16.0,26.0,15.0,45.0,1.0,25.0,15.0,2.0,0.0
1011.046875943,207.0,150.0,90.0,19.0,36.0,19.0,54.0,0.0,35.0,19.0,3.0,0.0
1000.92322706,206.0,173.0,56.0,19.0,15.0,19.0,41.0,0.0,12.0,19.0,2.0,0.0
886.571907721,181.0,148.0,49.0,13.0,24.0,13.0,25.0,0.0,20.0,13.0,0.0,0.0
935.955115404,192.0,149.0,64.0,14.0,26.0,12.0,38.0,2.0,25.0,12.0,6.0,0.0
918.475919317,188.0,156.0,40.0,14.0,17.0,14.0,23.0,0.0,16.0,14.0,2.0,0.0
796.885782215,161.0,136.0,59.0,3.0,20.0,3.0,39.0,0.0,20.0,3.0,2.0,0.0
852.74831805,173.0,149.0,40.0,8.0,14.0,8.0,26.0,0.0,14.0,8.0,2.0,0.0
917.513461163,189.0,151.0,64.0,16.0,24.0,16.0,40.0,0.0,22.0,16.0,0.0,0.0
980.976538231,202.0,179.0,30.0,11.0,13.0,10.0,17.0,1.0,12.0,10.0,1.0,0.0
811.230714018,164.0,132.0,45.0,16.0,18.0,14.0,27.0,2.0,16.0,14.0,2.0,0.0
921.257036993,187.0,141.0,79.0,15.0,30.0,15.0,49.0,0.0,28.0,15.0,3.0,0.0
929.256984668,188.0,152.0,52.0,10.0,22.0,10.0,30.0,0.0,22.0,10.0,4.0,0.0
925.794726068,190.0,148.0,72.0,22.0,20.0,21.0,52.0,1.0,19.0,21.0,2.0,0.0
987.710710803,204.0,159.0,83.0,19.0,32.0,14.0,51.0,5.0,30.0,14.0,1.0,0.0
925.197440999,190.0,161.0,44.0,16.0,13.0,16.0,31.0,0.0,13.0,16.0,0.0,0.0
947.457829433,195.0,153.0,64.0,19.0,21.0,19.0,43.0,0.0,21.0,19.0,2.0,0.0
857.235623782,175.0,145.0,49.0,8.0,21.0,8.0,28.0,0.0,19.0,8.0,3.0,0.0
981.602834021,202.0,153.0,68.0,22.0,26.0,22.0,42.0,0.0,24.0,22.0,3.0,0.0
1059.378221703,217.0,166.0,88.0,14.0,34.0,13.0,54.0,1.0,34.0,13.0,4.0,0.0
982.660070445,202.0,153.0,80.0,16.0,31.0,16.0,49.0,0.0,30.0,16.0,3.0,0.0
980.614528457,203.0,162.0,57.0,17.0,24.0,15.0,33.0,2.0,24.0,15.0,2.0,0.0
844.023591129,171.0,140.0,50.0,12.0,21.0,12.0,29.0,0.0,17.0,12.0,2.0,0.0
856.690634265,175.0,129.0,62.0,24.0,23.0,23.0,39.0,1.0,22.0,23.0,1.0,0.0
938.052388853,192.0,152.0,60.0,17.0,24.0,17.0,36.0,0.0,20.0,17.0,3.0,0.0
1007.740229716,208.0,165.0,60.0,20.0,20.0,20.0,40.0,0.0,19.0,20.0,4.0,0.0
905.960264376,184.0,157.0,51.0,8.0,19.0,8.0,32.0,0.0,18.0,8.0,1.0,0.0
892.198198299,180.0,142.0,37.0,19.0,21.0,18.0,16.0,1.0,19.0,18.0,1.0,0.0
1037.11295617,213.0,146.0,117.0,23.0,44.0,23.0,73.0,0.0,41.0,23.0,3.0,0.0
949.95515729,196.0,153.0,68.0,14.0,30.0,14.0,38.0,0.0,29.0,14.0,0.0,0.0
868.754022688,178.0,158.0,27.0,13.0,6.0,11.0,21.0,2.0,6.0,11.0,3.0,0.0
827.093522976,169.0,136.0,49.0,15.0,18.0,15.0,31.0,0.0,17.0,15.0,1.0,0.0
887.489669678,182.0,153.0,58.0,6.0,22.0,5.0,36.0,1.0,20.0,5.0,4.0,0.0
857.567856202,175.0,160.0,8.0,12.0,3.0,12.0,5.0,0.0,2.0,12.0,1.0,0.0
937.238693915,192.0,152.0,82.0,7.0,33.0,7.0,49.0,0.0,32.0,7.0,1.0,0.0
912.35758081,184.0,154.0,46.0,12.0,18.0,10.0,28.0,2.0,17.0,10.0,3.0,0.0
862.264213706,176.0,145.0,53.0,15.0,18.0,12.0,35.0,3.0,16.0,12.0,3.0,0.0
1035.343653772,214.0,156.0,97.0,20.0,35.0,19.0,62.0,1.0,35.0,19.0,4.0,0.0
959.127822528,198.0,149.0,74.0,16.0,31.0,16.0,43.0,0.0,30.0,16.0,3.0,0.0
1032.801431588,214.0,158.0,85.0,19.0,37.0,18.0,48.0,1.0,36.0,18.0,2.0,0.0
825.677847196,169.0,144.0,45.0,12.0,17.0,11.0,28.0,1.0,12.0,11.0,2.0,0.0
846.722925383,172.0,132.0,59.0,20.0,22.0,17.0,37.0,3.0,21.0,17.0,2.0,0.0
934.579734412,192.0,146.0,96.0,14.0,27.0,14.0,69.0,0.0,25.0,14.0,7.0,0.0
956.527073753,197.0,155.0,63.0,13.0,26.0,11.0,37.0,2.0,25.0,11.0,6.0,0.0
