"x1","x2","x3","x4","x5"
1175.237011439,315.0,156.0,156.0,159.0
1029.558763945,276.0,142.0,142.0,134.0
1182.809170646,320.0,164.0,164.0,156.0
1226.103964194,332.0,175.0,175.0,157.0
1144.288026746,309.0,156.0,156.0,153.0
1098.880068969,295.0,164.0,164.0,131.0
1128.973673115,298.0,152.0,152.0,146.0
1101.459284369,295.0,138.0,138.0,157.0
1039.043949263,278.0,152.0,152.0,126.0
1034.138294445,277.0,127.0,127.0,150.0
1086.341841551,292.0,134.0,134.0,158.0
1083.831487071,291.0,152.0,152.0,139.0
1238.301279555,335.0,168.0,168.0,167.0
1116.567436741,300.0,153.0,153.0,147.0
1241.298773854,336.0,169.0,169.0,167.0
1074.992694386,289.0,134.0,134.0,155.0
1086.048781543,292.0,138.0,138.0,154.0
1110.856392301,299.0,137.0,137.0,162.0
1122.826615855,302.0,171.0,171.0,131.0
1172.430987434,316.0,178.0,178.0,138.0
1157.605847888,312.0,162.0,162.0,150.0
1107.448599978,298.0,147.0,147.0,151.0
1118.138929215,301.0,139.0,139.0,162.0
1059.011772153,284.0,143.0,143.0,141.0
1184.940161964,320.0,162.0,162.0,158.0
1123.081108166,302.0,157.0,157.0,145.0
1182.168368305,319.0,167.0,167.0,152.0
1136.371585947,306.0,162.0,162.0,144.0
1142.224542834,308.0,150.0,150.0,158.0
1147.72961811,309.0,165.0,165.0,144.0
1002.99915035,268.0,137.0,137.0,131.0
1118.132309729,301.0,144.0,144.0,157.0
1055.956862431,283.0,138.0,138.0,145.0
1118.975461772,301.0,158.0,158.0,143.0
1167.619059592,315.0,157.0,157.0,158.0
1108.509830532,298.0,140.0,140.0,158.0
1134.11187134,305.0,142.0,142.0,163.0
1190.307965487,321.0,163.0,163.0,158.0
1198.371396198,324.0,148.0,148.0,176.0
1221.047996237,330.0,154.0,154.0,176.0
1131.62069415,304.0,135.0,135.0,169.0
1200.179405801,324.0,146.0,146.0,178.0
1166.195598045,314.0,156.0,156.0,158.0
1165.058478101,314.0,148.0,148.0,166.0
1094.659013281,294.0,143.0,143.0,151.0
1114.945330335,300.0,151.0,151.0,149.0
1160.900880325,313.0,174.0,174.0,139.0
1163.596669576,314.0,150.0,150.0,164.0
1048.003135457,281.0,129.0,129.0,152.0
1185.724025999,320.0,174.0,174.0,146.0
1245.563246021,337.0,179.0,179.0,158.0
1047.765566293,281.0,129.0,129.0,152.0
1131.918842196,305.0,142.0,142.0,163.0
1024.549673808,274.0,148.0,148.0,126.0
1184.401190379,320.0,152.0,152.0,168.0
1164.164762989,314.0,155.0,155.0,159.0
1023.892909297,274.0,127.0,127.0,147.0
986.155376253,263.0,133.0,133.0,130.0
1203.027228656,325.0,178.0,178.0,147.0
1185.584459318,320.0,167.0,167.0,153.0
1129.113499245,304.0,155.0,155.0,149.0
1114.759073193,300.0,150.0,150.0,150.0
1058.670329251,284.0,152.0,152.0,132.0
1104.156126712,297.0,148.0,148.0,149.0
1097.414137269,295.0,143.0,143.0,152.0
1116.699524795,300.0,165.0,165.0,135.0
1183.405596874,319.0,172.0,172.0,147.0
1221.988414943,330.0,172.0,172.0,158.0
1204.163159646,325.0,162.0,162.0,163.0
1139.978988226,307.0,161.0,161.0,146.0
1114.895176305,300.0,149.0,149.0,151.0
1260.126726886,341.0,187.0,187.0,154.0
1144.085622926,308.0,160.0,160.0,148.0
1121.349442649,301.0,165.0,165.0,136.0
1142.823280916,307.0,171.0,171.0,136.0
1114.92122278,299.0,161.0,161.0,138.0
1071.107686223,287.0,146.0,146.0,141.0
1244.154620395,336.0,178.0,178.0,158.0
1097.856833968,295.0,141.0,141.0,154.0
1248.511935539,338.0,155.0,155.0,183.0
1172.098652086,316.0,149.0,149.0,167.0
1156.895018435,311.0,175.0,175.0,136.0
1068.165820715,286.0,140.0,140.0,146.0
1088.320603074,292.0,144.0,144.0,148.0
1133.09205989,305.0,154.0,154.0,151.0
1098.182210716,295.0,149.0,149.0,146.0
1034.419275084,277.0,121.0,121.0,156.0
1143.877738152,308.0,150.0,150.0,158.0
1133.781125091,305.0,156.0,156.0,149.0
1185.230953168,320.0,157.0,157.0,163.0
1171.694116522,316.0,148.0,148.0,168.0
1118.368374121,301.0,145.0,145.0,156.0
1197.54878678,323.0,178.0,178.0,145.0
1139.957917983,307.0,155.0,155.0,152.0
1094.546687198,294.0,142.0,142.0,152.0
1097.53483823,295.0,152.0,152.0,143.0
1134.143584916,305.0,158.0,158.0,147.0
1159.977203869,312.0,168.0,168.0,144.0
1113.407875792,299.0,146.0,146.0,153.0
1032.207337406,276.0,139.0,139.0,137.0
