"x1","x2","x3","x4","x5"
1144.500958284,298.0,172.0,172.0,126.0
1306.366699664,345.0,200.0,200.0,145.0
1190.051425483,312.0,139.0,139.0,173.0
1270.235988704,336.0,181.0,181.0,155.0
1248.15694465,331.0,185.0,185.0,146.0
1250.27672984,331.0,182.0,182.0,149.0
1207.021996723,319.0,183.0,183.0,136.0
1181.132739271,309.0,159.0,159.0,150.0
1279.603556793,337.0,185.0,185.0,152.0
1221.880386154,321.0,189.0,189.0,132.0
1212.35008724,318.0,174.0,174.0,144.0
1226.580694146,325.0,167.0,167.0,158.0
1221.275078472,323.0,177.0,177.0,146.0
1294.965340267,343.0,178.0,178.0,165.0
1169.573542454,308.0,163.0,163.0,145.0
1071.983510464,283.0,144.0,144.0,139.0
1261.25852011,334.0,183.0,183.0,151.0
1107.832190545,292.0,158.0,158.0,134.0
1198.466746451,317.0,169.0,169.0,148.0
1171.310379957,309.0,157.0,157.0,152.0
1185.808270278,313.0,170.0,170.0,143.0
1280.53146315,339.0,188.0,188.0,151.0
1170.127848858,305.0,153.0,153.0,152.0
1146.380529543,302.0,165.0,165.0,137.0
1217.458786392,322.0,190.0,190.0,132.0
1112.94810254,293.0,160.0,160.0,133.0
1190.149866509,314.0,187.0,187.0,127.0
1312.422864,349.0,187.0,187.0,162.0
1125.971566037,297.0,153.0,153.0,144.0
1327.871156132,350.0,192.0,192.0,158.0
1268.745615206,337.0,168.0,168.0,169.0
1114.582316766,294.0,167.0,167.0,127.0
1296.310928662,344.0,188.0,188.0,156.0
1226.84343624,325.0,176.0,176.0,149.0
1249.26764858,331.0,175.0,175.0,156.0
1311.662776074,348.0,191.0,191.0,157.0
1232.608608792,326.0,189.0,189.0,137.0
1172.457454186,310.0,173.0,173.0,137.0
1202.039199836,317.0,179.0,179.0,138.0
1328.020248341,352.0,176.0,176.0,176.0
1264.072035648,334.0,177.0,177.0,157.0
1300.716803038,345.0,186.0,186.0,159.0
1142.834350575,301.0,170.0,170.0,131.0
1186.240653106,313.0,161.0,161.0,152.0
1175.751215347,310.0,173.0,173.0,137.0
1114.648307119,293.0,151.0,151.0,142.0
1302.641836331,345.0,198.0,198.0,147.0
1218.561860545,322.0,182.0,182.0,140.0
1244.149365331,329.0,172.0,172.0,157.0
1192.53038509,315.0,159.0,159.0,156.0
1215.640907883,321.0,174.0,174.0,147.0
1219.485247297,322.0,165.0,165.0,157.0
1253.746637855,331.0,188.0,188.0,143.0
1347.559063411,358.0,184.0,184.0,174.0
1231.944486485,326.0,172.0,172.0,154.0
1124.951357956,296.0,158.0,158.0,138.0
1256.762546932,333.0,169.0,169.0,164.0
1251.628833107,331.0,184.0,184.0,147.0
1160.192768141,306.0,162.0,162.0,144.0
1310.210911404,348.0,178.0,178.0,170.0
1206.746670838,319.0,176.0,176.0,143.0
1238.115100639,328.0,169.0,169.0,159.0
1231.717261922,326.0,184.0,184.0,142.0
1150.566689285,303.0,165.0,165.0,138.0
1297.701734085,344.0,191.0,191.0,153.0
1226.645620765,324.0,162.0,162.0,162.0
1248.415440363,330.0,168.0,168.0,162.0
1289.541640068,342.0,187.0,187.0,155.0
1178.600927605,311.0,170.0,170.0,141.0
1247.654627196,330.0,161.0,161.0,169.0
1281.979118201,336.0,177.0,177.0,159.0
1238.586037535,326.0,173.0,173.0,153.0
1198.235406328,314.0,160.0,160.0,154.0
1194.530853449,316.0,176.0,176.0,140.0
1266.886938081,335.0,189.0,189.0,146.0
1253.518081307,332.0,172.0,172.0,160.0
1236.07309312,326.0,180.0,180.0,146.0
1242.083731275,328.0,200.0,200.0,128.0
1212.467195664,320.0,172.0,172.0,148.0
1205.058876429,318.0,176.0,176.0,142.0
1138.087968687,300.0,151.0,151.0,149.0
1293.179084356,342.0,191.0,191.0,151.0
1201.124531688,317.0,173.0,173.0,144.0
1293.18331177,342.0,176.0,176.0,166.0
1224.183181176,324.0,149.0,149.0,175.0
1239.164846368,327.0,173.0,173.0,154.0
1239.344946089,328.0,167.0,167.0,161.0
1318.081766771,350.0,193.0,193.0,157.0
1160.438513566,307.0,150.0,150.0,157.0
1155.033467772,303.0,157.0,157.0,146.0
1245.799450611,329.0,168.0,168.0,161.0
1268.292552502,335.0,177.0,177.0,158.0
1210.171377497,319.0,180.0,180.0,139.0
1215.441362132,322.0,161.0,161.0,161.0
1220.970484827,323.0,161.0,161.0,162.0
1234.868118499,326.0,198.0,198.0,128.0
1284.093367671,342.0,180.0,180.0,162.0
1243.585061079,331.0,166.0,166.0,165.0
1213.314516379,321.0,185.0,185.0,136.0
1316.682819357,350.0,191.0,191.0,159.0
