"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
921.20836511,186.0,145.0,81.0,21.0,23.0,17.0,58.0,4.0,21.0,17.0,3.0,0.0
935.955820524,192.0,138.0,76.0,31.0,25.0,29.0,51.0,2.0,23.0,29.0,2.0,0.0
921.30410898,189.0,160.0,83.0,12.0,18.0,9.0,65.0,3.0,15.0,9.0,5.0,0.0
789.325611223,160.0,115.0,56.0,19.0,27.0,16.0,29.0,3.0,25.0,16.0,4.0,0.0
1046.947211041,216.0,158.0,79.0,31.0,32.0,23.0,47.0,8.0,29.0,23.0,6.0,0.0
965.042818966,198.0,154.0,80.0,24.0,21.0,18.0,59.0,6.0,20.0,18.0,6.0,0.0
1056.825182088,218.0,165.0,67.0,26.0,32.0,20.0,35.0,6.0,28.0,20.0,5.0,0.0
1084.201126697,224.0,152.0,117.0,15.0,59.0,11.0,58.0,4.0,59.0,11.0,2.0,0.0
903.208968215,185.0,144.0,55.0,29.0,18.0,22.0,37.0,7.0,15.0,22.0,4.0,0.0
886.71769372,181.0,138.0,61.0,26.0,22.0,21.0,39.0,5.0,20.0,21.0,2.0,0.0
969.371503281,199.0,142.0,87.0,26.0,29.0,23.0,58.0,3.0,29.0,23.0,5.0,0.0
1008.702849812,208.0,153.0,76.0,21.0,37.0,18.0,39.0,3.0,36.0,18.0,1.0,0.0
1060.233595304,219.0,160.0,78.0,35.0,32.0,27.0,46.0,8.0,32.0,27.0,0.0,0.0
856.489711385,175.0,147.0,22.0,19.0,12.0,17.0,10.0,2.0,10.0,17.0,1.0,0.0
880.34703248,180.0,148.0,36.0,13.0,17.0,12.0,19.0,1.0,16.0,12.0,4.0,0.0
924.59607534,189.0,135.0,60.0,27.0,26.0,25.0,34.0,2.0,23.0,25.0,6.0,0.0
956.385291273,194.0,145.0,89.0,30.0,23.0,26.0,66.0,4.0,22.0,26.0,1.0,0.0
893.792499149,183.0,136.0,77.0,27.0,24.0,24.0,53.0,3.0,21.0,24.0,2.0,0.0
867.772083765,177.0,136.0,71.0,22.0,24.0,18.0,47.0,4.0,21.0,18.0,2.0,0.0
876.987975595,179.0,130.0,73.0,23.0,36.0,17.0,37.0,6.0,32.0,17.0,0.0,0.0
959.221113078,197.0,164.0,52.0,26.0,13.0,16.0,39.0,10.0,13.0,16.0,4.0,0.0
1076.382793917,222.0,160.0,90.0,31.0,34.0,25.0,56.0,6.0,33.0,25.0,4.0,0.0
904.247406644,185.0,151.0,44.0,24.0,12.0,20.0,32.0,4.0,11.0,20.0,3.0,0.0
1089.168538319,225.0,152.0,121.0,27.0,51.0,20.0,70.0,7.0,51.0,20.0,2.0,0.0
871.917242758,178.0,138.0,53.0,26.0,19.0,20.0,34.0,6.0,18.0,20.0,2.0,0.0
918.321757322,188.0,144.0,73.0,20.0,26.0,17.0,47.0,3.0,25.0,17.0,2.0,0.0
980.84435189,202.0,159.0,48.0,21.0,19.0,18.0,29.0,3.0,19.0,18.0,6.0,0.0
852.284866509,174.0,145.0,30.0,23.0,10.0,19.0,20.0,4.0,9.0,19.0,1.0,0.0
913.030215855,187.0,159.0,66.0,20.0,13.0,13.0,53.0,7.0,10.0,13.0,5.0,0.0
1010.120459098,208.0,163.0,62.0,26.0,23.0,18.0,39.0,8.0,22.0,18.0,5.0,0.0
1014.294565234,207.0,133.0,96.0,32.0,44.0,27.0,52.0,5.0,44.0,27.0,3.0,0.0
1055.359743473,215.0,154.0,86.0,40.0,33.0,27.0,53.0,13.0,30.0,27.0,4.0,0.0
964.87306597,196.0,148.0,61.0,32.0,20.0,27.0,41.0,5.0,18.0,27.0,3.0,0.0
909.926805094,184.0,152.0,52.0,15.0,19.0,12.0,33.0,3.0,18.0,12.0,2.0,0.0
890.829507413,181.0,132.0,117.0,22.0,29.0,17.0,88.0,5.0,27.0,17.0,5.0,0.0
988.606914524,203.0,149.0,80.0,23.0,34.0,19.0,46.0,4.0,33.0,19.0,2.0,0.0
895.308398652,183.0,157.0,55.0,15.0,15.0,11.0,40.0,4.0,14.0,11.0,1.0,0.0
787.685422089,160.0,135.0,44.0,15.0,15.0,9.0,29.0,6.0,14.0,9.0,2.0,0.0
903.653017462,185.0,142.0,49.0,22.0,24.0,18.0,25.0,4.0,23.0,18.0,2.0,0.0
803.06596224,163.0,131.0,63.0,9.0,27.0,8.0,36.0,1.0,21.0,8.0,3.0,0.0
904.055630049,185.0,161.0,18.0,15.0,8.0,15.0,10.0,0.0,7.0,15.0,2.0,0.0
909.048054803,186.0,150.0,81.0,14.0,26.0,11.0,55.0,3.0,23.0,11.0,2.0,0.0
1001.415271984,206.0,159.0,67.0,26.0,28.0,16.0,39.0,10.0,25.0,16.0,6.0,0.0
895.808022516,183.0,141.0,63.0,17.0,26.0,13.0,37.0,4.0,25.0,13.0,4.0,0.0
1039.331731575,214.0,152.0,70.0,39.0,24.0,35.0,46.0,4.0,22.0,35.0,5.0,0.0
1132.124939795,234.0,162.0,104.0,27.0,45.0,25.0,59.0,2.0,41.0,25.0,6.0,0.0
992.275256985,204.0,161.0,71.0,20.0,25.0,16.0,46.0,4.0,23.0,16.0,4.0,0.0
1005.735406675,207.0,171.0,47.0,20.0,16.0,18.0,31.0,2.0,15.0,18.0,3.0,0.0
955.226674934,196.0,156.0,79.0,21.0,23.0,15.0,56.0,6.0,21.0,15.0,4.0,0.0
1061.052275418,219.0,162.0,90.0,24.0,34.0,20.0,56.0,4.0,33.0,20.0,4.0,0.0
