"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
876.49273495,138.0,82.0,124.0,4.0,52.0,4.0,72.0,0.0,51.0,4.0,1.0,0.0
854.720467014,135.0,78.0,143.0,5.0,48.0,5.0,95.0,0.0,48.0,5.0,4.0,0.0
857.05853955,132.0,77.0,141.0,14.0,45.0,14.0,96.0,0.0,40.0,14.0,1.0,0.0
1005.035357736,160.0,76.0,158.0,19.0,65.0,18.0,93.0,1.0,64.0,18.0,2.0,0.0
772.138068992,122.0,77.0,101.0,3.0,41.0,3.0,60.0,0.0,40.0,3.0,2.0,0.0
786.37438216,122.0,79.0,126.0,7.0,38.0,6.0,88.0,1.0,36.0,6.0,1.0,0.0
735.725328308,114.0,70.0,77.0,8.0,34.0,8.0,43.0,0.0,34.0,8.0,2.0,0.0
1053.200229499,167.0,76.0,185.0,16.0,73.0,16.0,112.0,0.0,72.0,16.0,3.0,0.0
795.835710547,127.0,78.0,134.0,11.0,38.0,10.0,96.0,1.0,38.0,10.0,1.0,0.0
711.982706184,111.0,73.0,108.0,6.0,33.0,5.0,75.0,1.0,33.0,5.0,0.0,0.0
1070.274439129,171.0,80.0,152.0,34.0,55.0,33.0,97.0,1.0,52.0,33.0,6.0,0.0
890.229672795,139.0,71.0,161.0,13.0,54.0,12.0,107.0,1.0,54.0,12.0,2.0,0.0
961.672826089,153.0,74.0,163.0,11.0,71.0,11.0,92.0,0.0,67.0,11.0,1.0,0.0
936.994152265,138.0,73.0,134.0,4.0,59.0,4.0,75.0,0.0,59.0,4.0,2.0,0.0
1088.873432076,157.0,81.0,140.0,16.0,61.0,16.0,79.0,0.0,58.0,16.0,2.0,0.0
1073.000822084,150.0,73.0,165.0,13.0,67.0,13.0,98.0,0.0,60.0,13.0,4.0,0.0
854.634776748,134.0,70.0,131.0,9.0,54.0,8.0,77.0,1.0,52.0,8.0,4.0,0.0
1067.38687117,147.0,66.0,170.0,7.0,74.0,7.0,96.0,0.0,72.0,7.0,2.0,0.0
930.999956131,132.0,61.0,140.0,22.0,48.0,21.0,92.0,1.0,48.0,21.0,2.0,0.0
765.470501117,118.0,77.0,109.0,5.0,36.0,5.0,73.0,0.0,36.0,5.0,0.0,0.0
636.974234449,95.0,76.0,40.0,1.0,18.0,1.0,22.0,0.0,18.0,1.0,0.0,0.0
842.27764033,127.0,69.0,131.0,9.0,48.0,8.0,83.0,1.0,48.0,8.0,2.0,0.0
809.790096588,129.0,72.0,128.0,4.0,51.0,4.0,77.0,0.0,51.0,4.0,2.0,0.0
759.619174575,121.0,83.0,98.0,9.0,31.0,9.0,67.0,0.0,29.0,9.0,0.0,0.0
805.455014323,129.0,65.0,153.0,8.0,54.0,8.0,99.0,0.0,54.0,8.0,2.0,0.0
577.401691823,92.0,71.0,41.0,3.0,18.0,3.0,23.0,0.0,17.0,3.0,1.0,0.0
878.14893096,141.0,76.0,142.0,10.0,55.0,10.0,87.0,0.0,54.0,10.0,1.0,0.0
903.021747974,145.0,79.0,150.0,10.0,54.0,9.0,96.0,1.0,51.0,9.0,6.0,0.0
805.218932216,131.0,77.0,108.0,15.0,41.0,15.0,67.0,0.0,39.0,15.0,0.0,0.0
871.133360636,140.0,78.0,134.0,3.0,58.0,2.0,76.0,1.0,58.0,2.0,2.0,0.0
839.80755356,136.0,75.0,128.0,12.0,48.0,11.0,80.0,1.0,46.0,11.0,4.0,0.0
920.814364,149.0,75.0,157.0,13.0,61.0,12.0,96.0,1.0,57.0,12.0,5.0,0.0
932.519251976,151.0,77.0,112.0,18.0,49.0,17.0,63.0,1.0,48.0,17.0,9.0,0.0
860.327731883,138.0,77.0,126.0,3.0,57.0,2.0,69.0,1.0,57.0,2.0,2.0,0.0
988.055083852,160.0,74.0,168.0,19.0,70.0,16.0,98.0,3.0,66.0,16.0,4.0,0.0
878.935538198,142.0,77.0,135.0,7.0,55.0,7.0,80.0,0.0,53.0,7.0,5.0,0.0
933.465266339,151.0,76.0,165.0,18.0,55.0,15.0,110.0,3.0,54.0,15.0,6.0,0.0
764.22208414,122.0,72.0,145.0,7.0,44.0,5.0,101.0,2.0,42.0,5.0,3.0,0.0
721.968197118,115.0,68.0,136.0,9.0,38.0,9.0,98.0,0.0,35.0,9.0,3.0,0.0
755.783494074,121.0,65.0,144.0,9.0,46.0,8.0,98.0,1.0,41.0,8.0,7.0,0.0
764.81375615,123.0,80.0,109.0,5.0,38.0,5.0,71.0,0.0,37.0,5.0,1.0,0.0
709.551026613,114.0,65.0,121.0,9.0,41.0,9.0,80.0,0.0,39.0,9.0,1.0,0.0
864.298895234,139.0,69.0,141.0,14.0,55.0,12.0,86.0,2.0,53.0,12.0,5.0,0.0
903.071142138,146.0,77.0,150.0,8.0,59.0,7.0,91.0,1.0,57.0,7.0,5.0,0.0
722.39323421,116.0,68.0,99.0,10.0,39.0,8.0,60.0,2.0,39.0,8.0,1.0,0.0
894.459178528,144.0,81.0,149.0,11.0,51.0,9.0,98.0,2.0,49.0,9.0,5.0,0.0
1049.198232278,170.0,89.0,153.0,11.0,66.0,11.0,87.0,0.0,64.0,11.0,6.0,0.0
957.929312171,155.0,73.0,154.0,19.0,64.0,15.0,90.0,4.0,62.0,15.0,5.0,0.0
913.594096197,149.0,75.0,149.0,17.0,54.0,17.0,95.0,0.0,49.0,17.0,8.0,0.0
900.937691662,147.0,72.0,143.0,15.0,60.0,14.0,83.0,1.0,58.0,14.0,3.0,0.0
