"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
1480.602295138,377.0,163.0,344.0,9.0,200.0,9.0,144.0,0.0,200.0,9.0,5.0,0.0
1333.105784789,341.0,147.0,356.0,6.0,187.0,5.0,169.0,1.0,187.0,5.0,2.0,0.0
1134.252618188,289.0,154.0,306.0,5.0,131.0,2.0,175.0,3.0,131.0,2.0,2.0,0.0
790.080062899,197.0,148.0,217.0,11.0,38.0,9.0,179.0,2.0,38.0,9.0,2.0,0.0
1445.385263077,371.0,170.0,362.0,5.0,194.0,5.0,168.0,0.0,194.0,5.0,2.0,0.0
1222.306044885,312.0,160.0,346.0,13.0,136.0,13.0,210.0,0.0,136.0,13.0,3.0,0.0
1273.32853146,325.0,151.0,323.0,9.0,164.0,8.0,159.0,1.0,164.0,8.0,2.0,0.0
1223.06772094,312.0,141.0,331.0,17.0,155.0,15.0,176.0,2.0,153.0,15.0,3.0,0.0
1074.234198175,272.0,147.0,347.0,13.0,111.0,9.0,236.0,4.0,111.0,9.0,5.0,0.0
1302.997886996,333.0,157.0,330.0,13.0,161.0,10.0,169.0,3.0,161.0,10.0,5.0,0.0
1207.301442707,307.0,169.0,346.0,15.0,124.0,13.0,222.0,2.0,124.0,13.0,1.0,0.0
1189.561503567,303.0,156.0,346.0,6.0,135.0,6.0,211.0,0.0,135.0,6.0,6.0,0.0
1467.654191197,377.0,168.0,349.0,7.0,202.0,5.0,147.0,2.0,202.0,5.0,2.0,0.0
1132.254962384,288.0,148.0,332.0,8.0,135.0,5.0,197.0,3.0,134.0,5.0,1.0,0.0
1458.557508358,374.0,159.0,347.0,7.0,211.0,5.0,136.0,2.0,210.0,5.0,0.0,0.0
1360.826283829,348.0,151.0,346.0,3.0,194.0,2.0,152.0,1.0,193.0,2.0,2.0,0.0
1405.137609624,360.0,161.0,358.0,9.0,191.0,7.0,167.0,2.0,188.0,7.0,4.0,0.0
1134.757814725,288.0,129.0,319.0,10.0,145.0,9.0,174.0,1.0,144.0,9.0,6.0,0.0
1075.291401759,272.0,131.0,361.0,16.0,127.0,11.0,234.0,5.0,127.0,11.0,3.0,0.0
1201.439515325,306.0,155.0,314.0,9.0,140.0,7.0,174.0,2.0,138.0,7.0,6.0,0.0
1267.364712706,324.0,161.0,312.0,12.0,148.0,11.0,164.0,1.0,148.0,11.0,4.0,0.0
1167.363815584,297.0,150.0,288.0,21.0,122.0,18.0,166.0,3.0,122.0,18.0,7.0,0.0
851.783374059,214.0,169.0,260.0,8.0,38.0,8.0,222.0,0.0,36.0,8.0,1.0,0.0
1099.572924738,279.0,151.0,328.0,19.0,104.0,18.0,224.0,1.0,103.0,18.0,7.0,0.0
1374.81610494,352.0,156.0,333.0,10.0,187.0,9.0,146.0,1.0,186.0,9.0,1.0,0.0
1416.979254896,363.0,155.0,324.0,7.0,201.0,3.0,123.0,4.0,201.0,3.0,4.0,0.0
754.370192975,188.0,144.0,158.0,5.0,40.0,3.0,118.0,2.0,40.0,3.0,1.0,0.0
1179.885103997,300.0,138.0,310.0,13.0,147.0,11.0,163.0,2.0,146.0,11.0,5.0,0.0
1454.292439035,373.0,167.0,334.0,12.0,194.0,11.0,140.0,1.0,194.0,11.0,1.0,0.0
1190.114094656,303.0,155.0,285.0,2.0,145.0,2.0,140.0,0.0,145.0,2.0,1.0,0.0
1298.181991858,331.0,152.0,360.0,14.0,165.0,11.0,195.0,3.0,163.0,11.0,5.0,0.0
1242.006539678,316.0,145.0,344.0,12.0,157.0,11.0,187.0,1.0,157.0,11.0,3.0,0.0
1014.179083337,257.0,151.0,275.0,2.0,102.0,2.0,173.0,0.0,102.0,2.0,2.0,0.0
941.210506479,238.0,163.0,262.0,17.0,59.0,16.0,203.0,1.0,59.0,16.0,0.0,0.0
1470.382594048,377.0,139.0,338.0,10.0,229.0,8.0,109.0,2.0,228.0,8.0,2.0,0.0
1253.070120105,320.0,148.0,320.0,6.0,167.0,3.0,153.0,3.0,167.0,3.0,2.0,0.0
1049.27986619,266.0,145.0,318.0,12.0,107.0,12.0,211.0,0.0,105.0,12.0,4.0,0.0
1314.60308481,336.0,153.0,353.0,10.0,170.0,10.0,183.0,0.0,170.0,10.0,3.0,0.0
1205.442507744,307.0,148.0,319.0,4.0,152.0,4.0,167.0,0.0,152.0,4.0,3.0,0.0
1423.43656403,366.0,179.0,319.0,14.0,173.0,13.0,146.0,1.0,173.0,13.0,1.0,0.0
1092.482304443,277.0,145.0,326.0,17.0,116.0,15.0,210.0,2.0,116.0,15.0,1.0,0.0
1521.666996482,391.0,152.0,342.0,7.0,231.0,5.0,111.0,2.0,230.0,5.0,4.0,0.0
1333.526983558,341.0,155.0,341.0,7.0,176.0,5.0,165.0,2.0,176.0,5.0,5.0,0.0
1452.11457007,372.0,148.0,362.0,11.0,209.0,11.0,153.0,0.0,208.0,11.0,5.0,0.0
1176.62998292,299.0,138.0,311.0,5.0,155.0,4.0,156.0,1.0,155.0,4.0,2.0,0.0
1128.16672686,287.0,170.0,328.0,6.0,111.0,6.0,217.0,0.0,111.0,6.0,0.0,0.0
926.588848705,233.0,138.0,332.0,13.0,77.0,12.0,255.0,1.0,77.0,12.0,6.0,0.0
1067.260380874,270.0,125.0,337.0,7.0,136.0,5.0,201.0,2.0,136.0,5.0,4.0,0.0
1057.296443545,268.0,158.0,311.0,8.0,103.0,6.0,208.0,2.0,103.0,6.0,1.0,0.0
1136.187027985,289.0,164.0,339.0,20.0,104.0,17.0,235.0,3.0,104.0,17.0,4.0,0.0
