"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
973.956892461,247.0,172.0,140.0,33.0,36.0,30.0,104.0,3.0,36.0,30.0,9.0,0.0
882.857251941,226.0,151.0,135.0,40.0,37.0,35.0,98.0,5.0,35.0,35.0,5.0,0.0
817.486749916,208.0,156.0,133.0,21.0,30.0,18.0,103.0,3.0,28.0,18.0,6.0,0.0
899.658396176,230.0,151.0,140.0,30.0,44.0,26.0,96.0,4.0,43.0,26.0,10.0,0.0
837.525749677,213.0,134.0,146.0,43.0,30.0,42.0,116.0,1.0,30.0,42.0,7.0,0.0
704.718426739,177.0,123.0,159.0,21.0,35.0,20.0,124.0,1.0,32.0,20.0,2.0,0.0
887.840772358,227.0,157.0,145.0,37.0,34.0,33.0,111.0,4.0,34.0,33.0,3.0,0.0
882.700843056,225.0,158.0,127.0,28.0,34.0,25.0,93.0,3.0,34.0,25.0,8.0,0.0
786.666984584,199.0,129.0,143.0,39.0,29.0,36.0,114.0,3.0,28.0,36.0,6.0,0.0
832.695102583,211.0,143.0,146.0,36.0,20.0,33.0,126.0,3.0,19.0,33.0,16.0,0.0
848.21756035,216.0,152.0,153.0,27.0,41.0,23.0,112.0,4.0,38.0,23.0,3.0,0.0
844.486020711,215.0,143.0,145.0,32.0,38.0,27.0,107.0,5.0,37.0,27.0,8.0,0.0
835.93051115,212.0,144.0,146.0,24.0,45.0,21.0,101.0,3.0,42.0,21.0,5.0,0.0
925.427165433,236.0,163.0,148.0,37.0,37.0,31.0,111.0,6.0,35.0,31.0,7.0,0.0
885.186329338,226.0,163.0,130.0,28.0,32.0,25.0,98.0,3.0,29.0,25.0,9.0,0.0
878.248790811,224.0,159.0,126.0,34.0,30.0,32.0,96.0,2.0,30.0,32.0,3.0,0.0
911.013520908,233.0,161.0,126.0,39.0,27.0,38.0,99.0,1.0,27.0,38.0,7.0,0.0
821.747763314,209.0,129.0,155.0,39.0,40.0,39.0,115.0,0.0,38.0,39.0,3.0,0.0
988.317987895,253.0,165.0,158.0,36.0,51.0,35.0,107.0,1.0,50.0,35.0,3.0,0.0
877.240460197,223.0,142.0,145.0,38.0,45.0,32.0,100.0,6.0,44.0,32.0,5.0,0.0
735.074708082,185.0,137.0,129.0,20.0,31.0,19.0,98.0,1.0,27.0,19.0,2.0,0.0
852.853619658,218.0,151.0,127.0,39.0,28.0,35.0,99.0,4.0,26.0,35.0,6.0,0.0
893.56339185,228.0,164.0,153.0,20.0,45.0,18.0,108.0,2.0,42.0,18.0,4.0,0.0
873.872379782,223.0,153.0,146.0,27.0,41.0,25.0,105.0,2.0,39.0,25.0,6.0,0.0
806.888923196,204.0,147.0,166.0,27.0,31.0,24.0,135.0,3.0,31.0,24.0,2.0,0.0
849.8128732,216.0,152.0,127.0,27.0,38.0,26.0,89.0,1.0,36.0,26.0,2.0,0.0
892.760783532,228.0,143.0,173.0,37.0,49.0,34.0,124.0,3.0,45.0,34.0,6.0,0.0
840.084604467,213.0,149.0,144.0,29.0,30.0,28.0,114.0,1.0,29.0,28.0,7.0,0.0
886.654714104,227.0,157.0,149.0,23.0,42.0,22.0,107.0,1.0,39.0,22.0,9.0,0.0
872.698581375,223.0,151.0,143.0,31.0,42.0,28.0,101.0,3.0,41.0,28.0,3.0,0.0
874.681678596,224.0,146.0,163.0,39.0,34.0,39.0,129.0,0.0,32.0,39.0,7.0,0.0
811.669194247,206.0,150.0,124.0,34.0,23.0,30.0,101.0,4.0,20.0,30.0,6.0,0.0
874.78640289,223.0,148.0,149.0,27.0,45.0,26.0,104.0,1.0,44.0,26.0,5.0,0.0
855.279586262,218.0,156.0,147.0,24.0,37.0,20.0,110.0,4.0,36.0,20.0,6.0,0.0
810.12857474,205.0,133.0,165.0,22.0,45.0,19.0,120.0,3.0,41.0,19.0,12.0,0.0
906.497527893,232.0,166.0,124.0,33.0,35.0,29.0,89.0,4.0,34.0,29.0,3.0,0.0
839.73747391,214.0,155.0,149.0,26.0,32.0,24.0,117.0,2.0,32.0,24.0,3.0,0.0
912.089854079,233.0,163.0,143.0,33.0,38.0,32.0,105.0,1.0,35.0,32.0,3.0,0.0
841.797385385,214.0,152.0,130.0,37.0,25.0,36.0,105.0,1.0,25.0,36.0,1.0,0.0
960.569402541,246.0,163.0,143.0,40.0,37.0,40.0,106.0,0.0,37.0,40.0,6.0,0.0
846.026356004,215.0,136.0,150.0,40.0,36.0,36.0,114.0,4.0,35.0,36.0,8.0,0.0
827.037445418,210.0,147.0,141.0,30.0,29.0,30.0,112.0,0.0,29.0,30.0,4.0,0.0
926.620999659,238.0,160.0,160.0,31.0,47.0,28.0,113.0,3.0,43.0,28.0,7.0,0.0
870.847108595,222.0,160.0,147.0,30.0,37.0,26.0,110.0,4.0,33.0,26.0,3.0,0.0
837.5405014,212.0,150.0,122.0,33.0,27.0,30.0,95.0,3.0,27.0,30.0,5.0,0.0
898.874705533,229.0,155.0,161.0,34.0,44.0,29.0,117.0,5.0,38.0,29.0,7.0,0.0
801.819521317,203.0,151.0,151.0,19.0,30.0,16.0,121.0,3.0,29.0,16.0,7.0,0.0
853.659181562,217.0,149.0,138.0,38.0,29.0,33.0,109.0,5.0,29.0,33.0,6.0,0.0
849.04662353,217.0,140.0,164.0,40.0,40.0,39.0,124.0,1.0,36.0,39.0,2.0,0.0
812.34585463,206.0,137.0,148.0,28.0,40.0,26.0,108.0,2.0,38.0,26.0,5.0,0.0
