"x1","x2","x3"
1246.73042597,319.0,163.0
1298.158995038,337.0,157.0
1224.933987809,317.0,152.0
1304.088626234,338.0,153.0
1258.551063427,327.0,163.0
1233.21005766,319.0,155.0
1249.086517365,324.0,170.0
1239.356368511,321.0,156.0
1329.859406156,345.0,159.0
1148.545846468,297.0,149.0
1296.607405792,338.0,149.0
1208.266356469,314.0,155.0
1290.74052051,335.0,138.0
1182.210168727,307.0,153.0
1255.223353225,327.0,150.0
1218.351876261,316.0,152.0
1149.388587097,297.0,147.0
1316.943606445,343.0,144.0
1271.987589402,332.0,167.0
1154.36041317,298.0,144.0
1172.615897159,303.0,141.0
1358.404851786,353.0,159.0
1146.754976606,296.0,142.0
1191.807391825,309.0,150.0
1296.464205891,338.0,169.0
1362.649083647,358.0,187.0
1166.433006139,303.0,142.0
1231.069874172,321.0,161.0
1229.022750953,319.0,148.0
1303.880786974,339.0,166.0
1310.652133749,343.0,157.0
1223.324198191,318.0,153.0
1333.291884767,347.0,156.0
1269.795516432,330.0,141.0
1239.236309347,323.0,135.0
1161.945371752,302.0,156.0
1127.502778351,291.0,127.0
1327.340904085,345.0,170.0
1294.560939967,337.0,168.0
1233.085723988,320.0,154.0
1153.52305118,299.0,140.0
1290.906255063,337.0,173.0
1238.574497084,323.0,151.0
1233.434170431,320.0,141.0
1129.354681603,292.0,163.0
1212.747514472,315.0,150.0
1171.697341378,305.0,126.0
1189.895677401,310.0,148.0
1221.600118841,318.0,154.0
1200.377183141,314.0,152.0
