"x1","x2","x3"
930.280097997,187.0,126.0
1085.317121645,224.0,148.0
931.482204617,191.0,154.0
908.428460632,186.0,147.0
932.871365996,191.0,143.0
919.311721794,188.0,137.0
1105.782725093,229.0,163.0
1039.408915007,213.0,160.0
897.645717035,181.0,133.0
1044.232593609,214.0,159.0
978.789172627,200.0,145.0
898.972376797,183.0,139.0
882.153941632,180.0,136.0
993.781653754,204.0,149.0
1078.012380218,222.0,147.0
993.33352756,203.0,135.0
1041.440043015,214.0,144.0
926.943641251,190.0,141.0
1042.289265412,215.0,153.0
863.207849168,176.0,125.0
893.865921657,183.0,145.0
1078.290891176,223.0,150.0
983.951188938,202.0,131.0
1129.398149179,234.0,157.0
960.177528212,197.0,137.0
1096.394774092,227.0,165.0
1037.499882989,213.0,165.0
978.871019477,201.0,149.0
960.472589879,197.0,130.0
941.008549243,193.0,153.0
1132.518397378,235.0,173.0
927.417660889,190.0,145.0
1056.800093723,218.0,149.0
1006.892210719,207.0,140.0
1071.431828319,221.0,156.0
997.952808968,205.0,150.0
975.850223434,200.0,142.0
942.957081389,193.0,154.0
1131.646683256,234.0,156.0
933.406709445,191.0,145.0
1061.598115202,219.0,158.0
1081.647996832,222.0,167.0
823.547194872,167.0,118.0
905.010100632,185.0,140.0
1022.700218235,209.0,152.0
882.702405166,179.0,134.0
999.353497748,206.0,148.0
1207.909350274,251.0,152.0
1019.968715267,210.0,147.0
991.122495704,204.0,134.0
