"x1","x2","x3"
1855.911532691,473.0,162.0
1916.061891185,495.0,153.0
1859.336622711,479.0,149.0
1582.490295137,407.0,148.0
1957.389039707,506.0,172.0
1877.913859415,483.0,150.0
1896.953439801,489.0,145.0
1838.561031628,474.0,142.0
1855.902537948,478.0,158.0
1645.922602912,422.0,137.0
1837.156629839,474.0,148.0
1904.868286634,493.0,164.0
1727.411316493,446.0,147.0
1753.941519433,453.0,148.0
1968.885405212,510.0,165.0
1872.897643823,484.0,142.0
1881.455855307,486.0,140.0
1819.801109641,470.0,147.0
1760.421303251,453.0,142.0
1745.594448863,451.0,143.0
2202.252475064,572.0,178.0
1875.221917939,485.0,159.0
1772.23949361,458.0,155.0
1866.939499045,482.0,132.0
1913.139492393,495.0,155.0
1574.164108602,406.0,159.0
1557.88665284,401.0,151.0
1858.632734182,481.0,165.0
1697.589922839,438.0,155.0
1871.047263265,484.0,121.0
1844.002794712,478.0,154.0
1837.90762445,476.0,153.0
1869.471552427,484.0,162.0
1840.370791528,476.0,142.0
1913.907733423,496.0,153.0
1603.496170219,413.0,137.0
1789.539043835,463.0,155.0
1873.911415944,485.0,158.0
1735.669310366,448.0,132.0
1848.111576271,478.0,148.0
1888.147199196,489.0,177.0
1789.380107673,462.0,136.0
1823.942616185,472.0,153.0
1987.494757492,515.0,144.0
1851.046487315,479.0,137.0
1893.633595581,489.0,128.0
1969.052323488,510.0,151.0
1694.895391831,437.0,145.0
1742.162780803,450.0,148.0
1933.142545549,500.0,158.0
