"x1","x2","x3"
1323.996371286,345.0,174.0
1186.867261001,311.0,133.0
1215.617574233,319.0,139.0
1338.466265818,353.0,164.0
1258.94890364,331.0,163.0
1193.214760659,313.0,147.0
1141.546312199,299.0,152.0
1222.624933234,321.0,137.0
1213.20553504,318.0,149.0
1232.666506344,324.0,163.0
1225.04254309,322.0,147.0
1120.551007369,293.0,144.0
1254.46620562,330.0,156.0
1185.951797282,311.0,150.0
1168.628345295,307.0,149.0
1225.874923525,322.0,152.0
1310.37289896,346.0,167.0
1184.969144413,311.0,137.0
1253.323528811,330.0,137.0
1122.999882194,294.0,136.0
1250.489185367,329.0,150.0
1239.000500157,326.0,151.0
1106.876789068,290.0,141.0
1223.287642979,322.0,155.0
1242.865841845,327.0,157.0
1242.64138594,327.0,170.0
1236.259198013,325.0,150.0
1256.477768665,330.0,158.0
1168.214661623,306.0,147.0
1302.323793896,343.0,147.0
1274.561966463,336.0,165.0
1232.643070323,324.0,157.0
1134.645599681,297.0,142.0
1199.484107223,315.0,156.0
1213.595610152,318.0,143.0
1238.585504734,326.0,161.0
1260.668083715,332.0,159.0
1291.358781591,340.0,155.0
1217.59639282,320.0,151.0
1218.68283626,320.0,147.0
1278.289179669,337.0,159.0
1309.948698882,345.0,158.0
1183.919307864,311.0,154.0
1235.737002104,325.0,160.0
1210.208621325,318.0,145.0
1171.29909509,306.0,120.0
1209.126103255,317.0,148.0
1222.88026845,322.0,155.0
1173.01706288,308.0,153.0
1255.891657264,330.0,141.0
