"x1","x2","x3","x4","x5"
1048.978605838,197.0,197.0,197.0,0.0
980.24668951,182.0,182.0,182.0,0.0
1225.803237014,231.0,231.0,231.0,0.0
912.115765374,168.0,168.0,168.0,0.0
1048.914101158,195.0,195.0,195.0,0.0
1225.223189009,231.0,231.0,231.0,0.0
1077.385682135,201.0,201.0,201.0,0.0
1097.504156931,205.0,205.0,205.0,0.0
1126.982478533,211.0,211.0,211.0,0.0
1054.017768933,196.0,196.0,196.0,0.0
1027.685691324,192.0,192.0,192.0,0.0
1082.917211273,203.0,203.0,203.0,0.0
1101.481421843,207.0,207.0,207.0,0.0
1141.226718302,215.0,215.0,215.0,0.0
1127.680928607,214.0,214.0,214.0,0.0
1057.375040702,200.0,200.0,200.0,0.0
836.773373932,156.0,156.0,156.0,0.0
1078.531042029,205.0,205.0,205.0,0.0
965.827754817,182.0,182.0,182.0,0.0
861.547198445,161.0,161.0,161.0,0.0
1172.091218654,224.0,224.0,224.0,0.0
1089.574492568,207.0,207.0,207.0,0.0
1003.846010573,190.0,190.0,190.0,0.0
1242.553520831,238.0,238.0,238.0,0.0
1054.107801116,200.0,200.0,200.0,0.0
1172.74676407,223.0,223.0,223.0,0.0
1099.762683254,210.0,210.0,210.0,0.0
1020.700829728,194.0,194.0,194.0,0.0
1206.440847834,231.0,231.0,231.0,0.0
1241.457346489,238.0,238.0,238.0,0.0
1114.62283411,212.0,212.0,212.0,0.0
991.130749974,187.0,187.0,187.0,0.0
1040.765629551,197.0,197.0,197.0,0.0
1105.637464724,211.0,211.0,211.0,0.0
1056.565414392,201.0,201.0,201.0,0.0
1046.257191493,199.0,199.0,199.0,0.0
1096.519520753,209.0,209.0,209.0,0.0
1067.406549243,203.0,203.0,203.0,0.0
1096.410036136,209.0,209.0,209.0,0.0
1007.979698996,191.0,191.0,191.0,0.0
1095.951063693,209.0,209.0,209.0,0.0
1046.8053248,199.0,199.0,199.0,0.0
885.35239272,166.0,166.0,166.0,0.0
1022.40405205,194.0,194.0,194.0,0.0
1153.562614745,218.0,218.0,218.0,0.0
1017.646843524,188.0,188.0,188.0,0.0
1015.670053192,193.0,193.0,193.0,0.0
1109.311796999,212.0,212.0,212.0,0.0
1031.966404592,196.0,196.0,196.0,0.0
1008.042644306,191.0,191.0,191.0,0.0
1076.550242371,205.0,205.0,205.0,0.0
1116.721843338,213.0,213.0,213.0,0.0
1023.149719453,194.0,194.0,194.0,0.0
1095.886307159,209.0,209.0,209.0,0.0
1084.238256895,207.0,207.0,207.0,0.0
1030.582772186,196.0,196.0,196.0,0.0
1044.984986491,199.0,199.0,199.0,0.0
962.561710658,182.0,182.0,182.0,0.0
1135.693086462,217.0,217.0,217.0,0.0
1095.103599686,208.0,208.0,208.0,0.0
1073.84193534,204.0,204.0,204.0,0.0
1094.384520478,208.0,208.0,208.0,0.0
970.429041041,183.0,183.0,183.0,0.0
1145.970653813,218.0,218.0,218.0,0.0
1080.639770302,206.0,206.0,206.0,0.0
1036.653717761,197.0,197.0,197.0,0.0
1134.611451327,217.0,217.0,217.0,0.0
1045.994084092,199.0,199.0,199.0,0.0
1079.414074409,204.0,204.0,204.0,0.0
1090.221624237,208.0,208.0,208.0,0.0
1056.039446267,201.0,201.0,201.0,0.0
1153.950739206,221.0,221.0,221.0,0.0
1076.725963646,205.0,205.0,205.0,0.0
1090.404404205,208.0,208.0,208.0,0.0
1079.128594582,206.0,206.0,206.0,0.0
956.363468589,181.0,181.0,181.0,0.0
990.95458247,188.0,188.0,188.0,0.0
955.385603698,181.0,181.0,181.0,0.0
1050.085406057,200.0,200.0,200.0,0.0
1031.228086206,196.0,196.0,196.0,0.0
1114.932380532,213.0,213.0,213.0,0.0
1240.859124268,238.0,238.0,238.0,0.0
1116.083809984,213.0,213.0,213.0,0.0
1022.987797607,194.0,194.0,194.0,0.0
958.840325163,181.0,181.0,181.0,0.0
1038.044605295,197.0,197.0,197.0,0.0
1002.328076361,190.0,190.0,190.0,0.0
1149.144479387,220.0,220.0,220.0,0.0
1119.133296885,214.0,214.0,214.0,0.0
1089.5125636,208.0,208.0,208.0,0.0
1065.745036767,203.0,203.0,203.0,0.0
1158.798417132,222.0,222.0,222.0,0.0
1099.908601109,210.0,210.0,210.0,0.0
973.035863755,184.0,184.0,184.0,0.0
1144.128034241,219.0,219.0,219.0,0.0
1123.18254556,215.0,215.0,215.0,0.0
995.923384018,189.0,189.0,189.0,0.0
1009.965142777,192.0,192.0,192.0,0.0
1067.936561163,204.0,204.0,204.0,0.0
1129.935042549,216.0,216.0,216.0,0.0
