"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
424.059577372,8811.0,7389.0,2212.0,288.0,1206.0,261.0,1006.0,27.0,978.0,261.0,183.0,0.0
422.972653379,9115.0,7633.0,2281.0,308.0,1227.0,273.0,1054.0,35.0,1026.0,273.0,183.0,0.0
420.764638418,8787.0,7344.0,2377.0,269.0,1278.0,237.0,1099.0,32.0,1037.0,237.0,169.0,0.0
421.947341537,8987.0,7518.0,2327.0,293.0,1236.0,257.0,1091.0,36.0,1037.0,257.0,175.0,0.0
419.907312704,8883.0,7493.0,2178.0,253.0,1180.0,231.0,998.0,22.0,989.0,231.0,170.0,0.0
423.041344889,9036.0,7530.0,2349.0,278.0,1285.0,249.0,1064.0,29.0,1071.0,249.0,186.0,0.0
421.767292164,8903.0,7465.0,2265.0,235.0,1245.0,210.0,1020.0,25.0,1043.0,210.0,185.0,0.0
422.341957907,9071.0,7496.0,2472.0,273.0,1330.0,243.0,1142.0,30.0,1130.0,243.0,202.0,0.0
421.42495837,9030.0,7535.0,2349.0,260.0,1294.0,240.0,1055.0,20.0,1081.0,240.0,174.0,0.0
420.604961171,8906.0,7495.0,2297.0,250.0,1260.0,228.0,1037.0,22.0,1035.0,228.0,148.0,0.0
422.745226292,9086.0,7567.0,2418.0,305.0,1286.0,270.0,1132.0,35.0,1046.0,270.0,203.0,0.0
419.576350175,8656.0,7269.0,2247.0,279.0,1157.0,251.0,1090.0,28.0,960.0,251.0,176.0,0.0
421.622229146,8873.0,7488.0,2236.0,237.0,1231.0,219.0,1005.0,18.0,991.0,219.0,175.0,0.0
425.921293244,8880.0,7456.0,2267.0,237.0,1248.0,215.0,1019.0,22.0,1029.0,215.0,180.0,0.0
426.901495916,8858.0,7394.0,2299.0,277.0,1233.0,249.0,1066.0,28.0,1008.0,249.0,207.0,0.0
421.451354606,8901.0,7495.0,2223.0,284.0,1147.0,262.0,1076.0,22.0,970.0,262.0,174.0,0.0
422.02061821,8982.0,7491.0,2329.0,258.0,1245.0,234.0,1084.0,24.0,1046.0,234.0,211.0,0.0
421.704189985,8922.0,7424.0,2292.0,301.0,1277.0,268.0,1015.0,33.0,1053.0,268.0,177.0,0.0
422.498287024,9139.0,7679.0,2322.0,285.0,1258.0,253.0,1064.0,32.0,1037.0,253.0,170.0,0.0
422.702863413,8970.0,7505.0,2310.0,288.0,1238.0,264.0,1072.0,24.0,1030.0,264.0,171.0,0.0
422.209117083,9103.0,7637.0,2235.0,266.0,1255.0,237.0,980.0,29.0,1049.0,237.0,180.0,0.0
420.155748911,8864.0,7446.0,2263.0,256.0,1231.0,234.0,1032.0,22.0,994.0,234.0,190.0,0.0
423.698085949,9154.0,7643.0,2396.0,297.0,1278.0,266.0,1118.0,31.0,1040.0,266.0,205.0,0.0
434.772131223,8955.0,7459.0,2281.0,291.0,1248.0,270.0,1033.0,21.0,1030.0,270.0,196.0,0.0
