"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
534.501099197,9125.0,7519.0,2304.0,398.0,1324.0,356.0,980.0,42.0,1020.0,356.0,230.0,0.0
527.056620771,8906.0,7360.0,2127.0,391.0,1230.0,351.0,897.0,40.0,962.0,351.0,233.0,0.0
535.947040457,9092.0,7504.0,2319.0,395.0,1331.0,346.0,988.0,49.0,1033.0,346.0,209.0,0.0
543.522759918,8920.0,7436.0,2099.0,378.0,1248.0,333.0,851.0,45.0,968.0,333.0,183.0,0.0
537.606837572,8807.0,7349.0,2104.0,389.0,1208.0,347.0,896.0,42.0,902.0,347.0,209.0,0.0
542.567061206,9121.0,7592.0,2259.0,352.0,1317.0,317.0,942.0,35.0,1021.0,317.0,191.0,0.0
546.770388979,9084.0,7511.0,2267.0,387.0,1305.0,350.0,962.0,37.0,1016.0,350.0,207.0,0.0
541.890336645,9128.0,7506.0,2337.0,373.0,1366.0,346.0,971.0,27.0,1062.0,346.0,214.0,0.0
539.609693835,9076.0,7508.0,2353.0,397.0,1346.0,363.0,1007.0,34.0,988.0,363.0,217.0,0.0
538.081036005,9134.0,7635.0,2235.0,362.0,1269.0,319.0,966.0,43.0,956.0,319.0,224.0,0.0
547.609254297,9087.0,7545.0,2220.0,390.0,1287.0,347.0,933.0,43.0,987.0,347.0,208.0,0.0
538.029721667,9016.0,7426.0,2240.0,404.0,1308.0,368.0,932.0,36.0,1013.0,368.0,209.0,0.0
538.39401865,9211.0,7658.0,2201.0,365.0,1312.0,330.0,889.0,35.0,1031.0,330.0,192.0,0.0
538.241080977,8983.0,7484.0,2184.0,340.0,1218.0,310.0,966.0,30.0,956.0,310.0,233.0,0.0
532.016772592,9016.0,7469.0,2219.0,399.0,1276.0,357.0,943.0,42.0,989.0,357.0,201.0,0.0
539.03966814,9176.0,7565.0,2233.0,409.0,1281.0,376.0,952.0,33.0,1009.0,376.0,226.0,0.0
