"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
411.604219711,8967.0,7471.0,1750.0,327.0,1298.0,259.0,452.0,68.0,1075.0,259.0,162.0,0.0
399.143828374,8875.0,7426.0,1692.0,330.0,1290.0,262.0,402.0,68.0,1039.0,262.0,148.0,0.0
402.593038457,8976.0,7437.0,1782.0,354.0,1317.0,270.0,465.0,84.0,1080.0,270.0,189.0,0.0
405.343302832,9045.0,7583.0,1696.0,335.0,1243.0,274.0,453.0,61.0,1012.0,274.0,176.0,0.0
409.280785135,9109.0,7549.0,1849.0,341.0,1357.0,263.0,492.0,78.0,1129.0,263.0,168.0,0.0
411.567652315,9102.0,7503.0,1873.0,352.0,1378.0,282.0,495.0,70.0,1129.0,282.0,188.0,0.0
406.050214821,9082.0,7581.0,1746.0,348.0,1310.0,265.0,436.0,83.0,1060.0,265.0,176.0,0.0
403.85940277,9055.0,7486.0,1771.0,371.0,1335.0,289.0,436.0,82.0,1105.0,289.0,175.0,0.0
405.354250792,9034.0,7478.0,1811.0,334.0,1348.0,271.0,463.0,63.0,1104.0,271.0,181.0,0.0
411.077485307,9219.0,7613.0,1861.0,363.0,1414.0,277.0,447.0,86.0,1161.0,277.0,168.0,0.0
408.418088526,8978.0,7453.0,1758.0,325.0,1298.0,253.0,460.0,72.0,1079.0,253.0,193.0,0.0
400.665071659,8848.0,7320.0,1785.0,353.0,1364.0,268.0,421.0,85.0,1098.0,268.0,162.0,0.0
403.836310566,9110.0,7556.0,1799.0,335.0,1366.0,279.0,433.0,56.0,1099.0,279.0,176.0,0.0
404.886907201,9016.0,7470.0,1804.0,348.0,1377.0,262.0,427.0,86.0,1120.0,262.0,164.0,0.0
410.728393119,9196.0,7580.0,1885.0,335.0,1426.0,266.0,459.0,69.0,1174.0,266.0,176.0,0.0
409.285684565,9017.0,7503.0,1770.0,311.0,1327.0,248.0,443.0,63.0,1097.0,248.0,169.0,0.0
402.652065976,9022.0,7504.0,1746.0,321.0,1301.0,261.0,445.0,60.0,1073.0,261.0,184.0,0.0
406.90605319,9240.0,7644.0,1834.0,346.0,1365.0,273.0,469.0,73.0,1112.0,273.0,211.0,0.0
404.689872953,9011.0,7513.0,1710.0,368.0,1259.0,286.0,451.0,82.0,1034.0,286.0,178.0,0.0
407.775657443,9033.0,7453.0,1813.0,357.0,1345.0,273.0,468.0,84.0,1120.0,273.0,187.0,0.0
407.838457721,8902.0,7373.0,1779.0,386.0,1323.0,294.0,456.0,92.0,1051.0,294.0,184.0,0.0
402.653444881,9049.0,7463.0,1812.0,392.0,1357.0,315.0,455.0,77.0,1096.0,315.0,175.0,0.0
404.99725072,9116.0,7574.0,1801.0,345.0,1343.0,280.0,458.0,65.0,1090.0,280.0,172.0,0.0
405.710246786,9025.0,7451.0,1834.0,357.0,1378.0,279.0,456.0,78.0,1121.0,279.0,174.0,0.0
408.416485685,9050.0,7492.0,1847.0,353.0,1401.0,259.0,446.0,94.0,1116.0,259.0,183.0,0.0
408.864916142,8943.0,7358.0,1828.0,369.0,1357.0,284.0,471.0,85.0,1113.0,284.0,188.0,0.0
405.461606205,9270.0,7702.0,1832.0,344.0,1357.0,275.0,475.0,69.0,1103.0,275.0,190.0,0.0
404.91622018,9084.0,7452.0,1894.0,349.0,1392.0,282.0,502.0,67.0,1141.0,282.0,209.0,0.0
406.05220596,9018.0,7464.0,1867.0,328.0,1369.0,261.0,498.0,67.0,1105.0,261.0,188.0,0.0
411.196170698,9180.0,7606.0,1817.0,349.0,1379.0,267.0,438.0,82.0,1125.0,267.0,182.0,0.0
410.270441439,8996.0,7415.0,1802.0,354.0,1344.0,278.0,458.0,76.0,1107.0,278.0,196.0,0.0
401.891387966,8961.0,7357.0,1821.0,359.0,1364.0,277.0,457.0,82.0,1131.0,277.0,196.0,0.0
405.490164771,9085.0,7452.0,1835.0,407.0,1397.0,319.0,438.0,88.0,1140.0,319.0,174.0,0.0
406.331848755,9063.0,7570.0,1778.0,321.0,1325.0,246.0,453.0,75.0,1080.0,246.0,167.0,0.0
408.10827859,9030.0,7480.0,1832.0,338.0,1360.0,254.0,472.0,84.0,1112.0,254.0,184.0,0.0
411.047874754,9071.0,7547.0,1802.0,332.0,1340.0,259.0,462.0,73.0,1085.0,259.0,180.0,0.0
401.370315526,9030.0,7455.0,1781.0,378.0,1325.0,306.0,456.0,72.0,1099.0,306.0,170.0,0.0
403.217925268,9014.0,7476.0,1789.0,379.0,1295.0,295.0,494.0,84.0,1052.0,295.0,191.0,0.0
408.779423907,9164.0,7617.0,1862.0,347.0,1372.0,265.0,490.0,82.0,1086.0,265.0,196.0,0.0
408.154182018,8999.0,7406.0,1821.0,330.0,1366.0,263.0,455.0,67.0,1127.0,263.0,203.0,0.0
411.767083867,9090.0,7457.0,1925.0,351.0,1432.0,265.0,493.0,86.0,1174.0,265.0,194.0,0.0
400.862597146,9020.0,7486.0,1817.0,340.0,1294.0,257.0,523.0,83.0,1090.0,257.0,187.0,0.0
402.159567236,8909.0,7323.0,1834.0,361.0,1360.0,284.0,474.0,77.0,1112.0,284.0,190.0,0.0
404.856678285,8960.0,7464.0,1739.0,377.0,1290.0,287.0,449.0,90.0,1051.0,287.0,158.0,0.0
409.662755892,9124.0,7590.0,1807.0,324.0,1353.0,258.0,454.0,66.0,1112.0,258.0,164.0,0.0
410.799832771,9045.0,7456.0,1855.0,368.0,1400.0,285.0,455.0,83.0,1138.0,285.0,166.0,0.0
401.883030491,9052.0,7510.0,1749.0,373.0,1299.0,290.0,450.0,83.0,1071.0,290.0,181.0,0.0
405.422889772,9122.0,7498.0,1872.0,358.0,1389.0,275.0,483.0,83.0,1151.0,275.0,198.0,0.0
405.868962154,9002.0,7421.0,1845.0,322.0,1374.0,257.0,471.0,65.0,1130.0,257.0,194.0,0.0
407.618779202,8998.0,7444.0,1793.0,337.0,1361.0,269.0,432.0,68.0,1096.0,269.0,189.0,0.0
412.439564773,9138.0,7557.0,1814.0,345.0,1344.0,274.0,470.0,71.0,1114.0,274.0,193.0,0.0
402.303620427,9094.0,7587.0,1797.0,334.0,1353.0,268.0,444.0,66.0,1082.0,268.0,157.0,0.0
401.095735891,8907.0,7427.0,1743.0,323.0,1275.0,248.0,468.0,75.0,1043.0,248.0,189.0,0.0
407.357619063,9098.0,7550.0,1762.0,366.0,1326.0,284.0,436.0,82.0,1069.0,284.0,195.0,0.0
410.5990744,9124.0,7523.0,1858.0,341.0,1337.0,267.0,521.0,74.0,1109.0,267.0,225.0,0.0
408.426494927,8916.0,7368.0,1833.0,350.0,1370.0,272.0,463.0,78.0,1099.0,272.0,177.0,0.0
401.189438872,9027.0,7507.0,1756.0,363.0,1302.0,293.0,454.0,70.0,1062.0,293.0,165.0,0.0
404.158017409,9067.0,7497.0,1825.0,364.0,1351.0,288.0,474.0,76.0,1088.0,288.0,194.0,0.0
406.752881768,9070.0,7519.0,1791.0,326.0,1340.0,257.0,451.0,69.0,1099.0,257.0,195.0,0.0
407.279328381,8987.0,7455.0,1797.0,332.0,1328.0,264.0,469.0,68.0,1088.0,264.0,180.0,0.0
410.832280038,9070.0,7564.0,1786.0,323.0,1328.0,250.0,458.0,73.0,1068.0,250.0,188.0,0.0
403.54939234,9170.0,7631.0,1735.0,361.0,1295.0,289.0,440.0,72.0,1074.0,289.0,176.0,0.0
403.429713739,9028.0,7520.0,1780.0,347.0,1319.0,261.0,461.0,86.0,1058.0,261.0,189.0,0.0
407.451912498,9100.0,7520.0,1880.0,338.0,1376.0,259.0,504.0,79.0,1128.0,259.0,193.0,0.0
409.009572867,9089.0,7536.0,1851.0,330.0,1359.0,265.0,492.0,65.0,1104.0,265.0,184.0,0.0
411.107694374,9059.0,7526.0,1724.0,345.0,1302.0,284.0,422.0,61.0,1071.0,284.0,178.0,0.0
