"x1","x2","x3"
463.753221783,9818.0,7472.0
442.817884599,9919.0,7564.0
433.900461401,9744.0,7497.0
434.791842316,10026.0,7665.0
432.671993489,9871.0,7555.0
433.800711872,9862.0,7426.0
433.120610818,9812.0,7507.0
432.704326999,9822.0,7532.0
432.483986184,9831.0,7585.0
431.765359845,9675.0,7425.0
432.242869111,9724.0,7457.0
431.598187989,9845.0,7547.0
430.983889432,9700.0,7420.0
441.444179998,9765.0,7521.0
431.664771105,9841.0,7550.0
429.836374584,9696.0,7529.0
431.312163963,9778.0,7524.0
429.517403487,9697.0,7556.0
430.572912204,9729.0,7476.0
431.314694516,9770.0,7523.0
432.785516834,9902.0,7594.0
431.471515502,9843.0,7565.0
430.93117388,9707.0,7442.0
430.931778424,9689.0,7449.0
432.507320336,9900.0,7567.0
431.430101504,9770.0,7534.0
430.940487229,9797.0,7542.0
431.341720536,9760.0,7499.0
430.784886149,9756.0,7555.0
433.179069843,9858.0,7501.0
432.937328094,9811.0,7432.0
433.507356092,9783.0,7378.0
431.201569291,9720.0,7464.0
430.262444391,9656.0,7433.0
430.224240008,9554.0,7319.0
430.955679863,9615.0,7402.0
432.814471868,9839.0,7534.0
431.858798315,9799.0,7582.0
433.247658592,9855.0,7505.0
433.653410358,9855.0,7474.0
432.274322246,9871.0,7570.0
430.685311494,9617.0,7377.0
430.984730146,9653.0,7446.0
432.393415093,9920.0,7637.0
432.503057276,9708.0,7427.0
433.790951425,9947.0,7560.0
433.747790798,9888.0,7454.0
432.297948756,9639.0,7386.0
434.690905032,9958.0,7651.0
431.47833856,9670.0,7416.0
