"x1","x2","x3","x4","x5"
567.935667761,9485.0,2047.0,2047.0,7438.0
562.866737691,9628.0,2137.0,2137.0,7491.0
542.544342633,9625.0,2044.0,2044.0,7581.0
539.149421546,9513.0,2067.0,2067.0,7446.0
538.798779721,9471.0,2049.0,2049.0,7422.0
540.871405187,9573.0,2008.0,2008.0,7565.0
543.840838327,9505.0,2008.0,2008.0,7497.0
543.097550445,9372.0,1970.0,1970.0,7402.0
539.524484119,9462.0,2086.0,2086.0,7376.0
545.467791355,9643.0,2027.0,2027.0,7616.0
549.194108538,9551.0,2044.0,2044.0,7507.0
542.183095672,9597.0,2025.0,2025.0,7572.0
539.597054178,9621.0,2041.0,2041.0,7580.0
539.197673847,9517.0,2093.0,2093.0,7424.0
545.222749058,9748.0,2127.0,2127.0,7621.0
533.008596816,9556.0,1990.0,1990.0,7566.0
536.023110755,9513.0,2053.0,2053.0,7460.0
540.648824724,9558.0,2065.0,2065.0,7493.0
546.185306431,9654.0,2106.0,2106.0,7548.0
530.889145797,9404.0,1958.0,1958.0,7446.0
542.139477418,9715.0,2057.0,2057.0,7658.0
538.570618633,9431.0,1931.0,1931.0,7500.0
545.109426042,9557.0,1994.0,1994.0,7563.0
548.494479952,9505.0,2093.0,2093.0,7412.0
529.387564151,9308.0,1934.0,1934.0,7374.0
541.394653392,9610.0,2158.0,2158.0,7452.0
545.836503182,9706.0,2220.0,2220.0,7486.0
544.261051795,9507.0,2005.0,2005.0,7502.0
550.610039168,9656.0,2063.0,2063.0,7593.0
534.703306403,9553.0,2063.0,2063.0,7490.0
536.710994357,9434.0,1982.0,1982.0,7452.0
538.479229919,9421.0,1949.0,1949.0,7472.0
540.628158376,9353.0,1955.0,1955.0,7398.0
547.601022264,9506.0,2043.0,2043.0,7463.0
533.708678583,9601.0,2001.0,2001.0,7600.0
534.772052735,9419.0,1985.0,1985.0,7434.0
539.884940272,9507.0,2020.0,2020.0,7487.0
543.864275504,9578.0,2019.0,2019.0,7559.0
550.148750426,9589.0,2123.0,2123.0,7466.0
538.31505996,9740.0,2077.0,2077.0,7663.0
536.214432059,9485.0,1996.0,1996.0,7489.0
541.229127229,9623.0,2000.0,2000.0,7623.0
541.638968005,9415.0,1974.0,1974.0,7441.0
547.98470363,9527.0,2019.0,2019.0,7508.0
530.597760233,9470.0,1936.0,1936.0,7534.0
534.170976718,9527.0,1971.0,1971.0,7556.0
533.3259901,9319.0,1990.0,1990.0,7329.0
543.716010476,9600.0,2104.0,2104.0,7496.0
542.425489816,9413.0,2041.0,2041.0,7372.0
542.529618489,9423.0,2037.0,2037.0,7386.0
535.546677219,9513.0,1964.0,1964.0,7549.0
536.325966736,9438.0,1983.0,1983.0,7455.0
546.255579104,9614.0,2111.0,2111.0,7503.0
547.202871209,9606.0,2107.0,2107.0,7499.0
543.980918263,9722.0,2171.0,2171.0,7551.0
538.597381043,9651.0,2045.0,2045.0,7606.0
539.557136871,9464.0,2062.0,2062.0,7402.0
547.68644081,9610.0,2162.0,2162.0,7448.0
550.68055274,9700.0,2173.0,2173.0,7527.0
540.978059203,9417.0,1992.0,1992.0,7425.0
534.425572481,9439.0,1941.0,1941.0,7498.0
539.207123664,9493.0,2036.0,2036.0,7457.0
542.123639034,9503.0,2008.0,2008.0,7495.0
544.295775806,9428.0,2013.0,2013.0,7415.0
533.505795605,9535.0,2062.0,2062.0,7473.0
539.591243693,9619.0,2120.0,2120.0,7499.0
537.120279579,9322.0,1951.0,1951.0,7371.0
545.80102353,9573.0,2068.0,2068.0,7505.0
550.136736005,9623.0,2024.0,2024.0,7599.0
536.036161036,9687.0,2080.0,2080.0,7607.0
536.227369654,9449.0,1988.0,1988.0,7461.0
543.40465459,9653.0,2067.0,2067.0,7586.0
547.03140541,9640.0,2065.0,2065.0,7575.0
548.805706217,9587.0,2020.0,2020.0,7567.0
535.751846619,9596.0,2021.0,2021.0,7575.0
534.108897663,9297.0,1983.0,1983.0,7314.0
541.472797943,9519.0,2044.0,2044.0,7475.0
544.88342638,9589.0,2066.0,2066.0,7523.0
545.618700573,9511.0,1934.0,1934.0,7577.0
535.308293857,9577.0,2067.0,2067.0,7510.0
538.113059442,9572.0,2054.0,2054.0,7518.0
543.749341959,9674.0,2084.0,2084.0,7590.0
544.14462247,9544.0,1970.0,1970.0,7574.0
548.488680691,9548.0,2009.0,2009.0,7539.0
532.700541706,9481.0,2058.0,2058.0,7423.0
536.834179514,9576.0,1990.0,1990.0,7586.0
541.047557923,9599.0,2048.0,2048.0,7551.0
543.342160296,9609.0,1982.0,1982.0,7627.0
543.772607458,9386.0,2001.0,2001.0,7385.0
533.689755579,9623.0,2070.0,2070.0,7553.0
534.14638874,9339.0,2068.0,2068.0,7271.0
544.140465708,9721.0,2167.0,2167.0,7554.0
538.992835421,9241.0,1876.0,1876.0,7365.0
552.810306082,9612.0,2046.0,2046.0,7566.0
532.386394117,9439.0,2046.0,2046.0,7393.0
540.642612642,9738.0,2000.0,2000.0,7738.0
542.94646557,9593.0,2122.0,2122.0,7471.0
541.440059567,9424.0,1954.0,1954.0,7470.0
546.39501653,9417.0,2093.0,2093.0,7324.0
529.9251624,9662.0,2026.0,2026.0,7636.0
