"x1","x2","x3","x4","x5"
413.261226692,9539.0,2001.0,2001.0,7538.0
410.504173159,9559.0,2044.0,2044.0,7515.0
412.503305763,9551.0,2105.0,2105.0,7446.0
411.900275295,9673.0,2058.0,2058.0,7615.0
412.163827917,9553.0,2102.0,2102.0,7451.0
408.729738148,9457.0,2108.0,2108.0,7349.0
411.108121952,9562.0,2046.0,2046.0,7516.0
414.948247016,9588.0,2097.0,2097.0,7491.0
411.977816334,9428.0,2007.0,2007.0,7421.0
412.663146941,9691.0,2091.0,2091.0,7600.0
413.201369862,9538.0,2023.0,2023.0,7515.0
414.570369185,9428.0,1965.0,1965.0,7463.0
407.197494514,9428.0,2053.0,2053.0,7375.0
412.003716978,9545.0,2045.0,2045.0,7500.0
416.810707214,9604.0,2050.0,2050.0,7554.0
419.324806655,9565.0,2054.0,2054.0,7511.0
408.042692452,9495.0,2031.0,2031.0,7464.0
413.969810664,9614.0,2112.0,2112.0,7502.0
419.884022514,9782.0,2071.0,2071.0,7711.0
418.857587038,9521.0,2098.0,2098.0,7423.0
410.534258582,9611.0,2090.0,2090.0,7521.0
410.629692945,9383.0,2010.0,2010.0,7373.0
415.507337844,9512.0,2004.0,2004.0,7508.0
420.003304595,9562.0,2095.0,2095.0,7467.0
418.691041986,9741.0,2135.0,2135.0,7606.0
414.524186813,9654.0,2149.0,2149.0,7505.0
417.86221431,9720.0,1993.0,1993.0,7727.0
421.983397816,9703.0,2172.0,2172.0,7531.0
421.091643593,9493.0,2058.0,2058.0,7435.0
412.26975132,9570.0,2073.0,2073.0,7497.0
409.948976673,9407.0,2031.0,2031.0,7376.0
414.181577783,9438.0,2043.0,2043.0,7395.0
419.560794117,9506.0,2000.0,2000.0,7506.0
461.783745218,9446.0,1950.0,1950.0,7496.0
467.928825845,9524.0,2103.0,2103.0,7421.0
423.480505154,9432.0,2014.0,2014.0,7418.0
497.058164223,9539.0,2053.0,2053.0,7486.0
484.205637731,9533.0,2022.0,2022.0,7511.0
423.903564414,9575.0,2100.0,2100.0,7475.0
409.723538733,9555.0,2117.0,2117.0,7438.0
410.955503129,9426.0,2014.0,2014.0,7412.0
420.809858102,9791.0,2139.0,2139.0,7652.0
436.802766064,9473.0,2023.0,2023.0,7450.0
476.814737871,9455.0,1992.0,1992.0,7463.0
407.456825902,9472.0,1966.0,1966.0,7506.0
412.344857219,9516.0,2023.0,2023.0,7493.0
415.834549414,9502.0,2026.0,2026.0,7476.0
416.761648589,9364.0,2031.0,2031.0,7333.0
425.806776415,9692.0,2068.0,2068.0,7624.0
409.778981126,9578.0,2086.0,2086.0,7492.0
410.381367715,9531.0,1936.0,1936.0,7595.0
410.692184542,9528.0,2201.0,2201.0,7327.0
412.759122518,9466.0,2047.0,2047.0,7419.0
416.158842509,9456.0,2047.0,2047.0,7409.0
423.73980755,9696.0,2074.0,2074.0,7622.0
416.765705947,9583.0,2105.0,2105.0,7478.0
409.884186484,9446.0,1986.0,1986.0,7460.0
415.651985093,9598.0,2030.0,2030.0,7568.0
416.934841231,9459.0,2001.0,2001.0,7458.0
419.474678266,9404.0,2043.0,2043.0,7361.0
415.886081877,9619.0,2235.0,2235.0,7384.0
412.79529075,9541.0,2059.0,2059.0,7482.0
414.498849931,9467.0,2008.0,2008.0,7459.0
420.001538524,9604.0,1988.0,1988.0,7616.0
423.35760161,9602.0,2030.0,2030.0,7572.0
413.659904066,9690.0,2219.0,2219.0,7471.0
411.595180031,9443.0,2046.0,2046.0,7397.0
418.144596954,9617.0,2135.0,2135.0,7482.0
423.737568344,9704.0,2123.0,2123.0,7581.0
424.504927678,9573.0,2064.0,2064.0,7509.0
411.412161473,9649.0,2030.0,2030.0,7619.0
415.709113269,9667.0,2038.0,2038.0,7629.0
414.67976266,9421.0,2036.0,2036.0,7385.0
418.460243187,9463.0,2061.0,2061.0,7402.0
422.719005669,9491.0,2116.0,2116.0,7375.0
407.093402666,9382.0,2049.0,2049.0,7333.0
415.487676449,9636.0,2162.0,2162.0,7474.0
417.742399983,9556.0,2124.0,2124.0,7432.0
421.792767436,9620.0,2063.0,2063.0,7557.0
422.440094488,9491.0,2023.0,2023.0,7468.0
410.916267565,9629.0,1958.0,1958.0,7671.0
411.808418376,9460.0,2011.0,2011.0,7449.0
418.988357705,9665.0,2040.0,2040.0,7625.0
418.847908676,9499.0,2001.0,2001.0,7498.0
425.011171652,9603.0,2130.0,2130.0,7473.0
410.332231894,9567.0,2033.0,2033.0,7534.0
415.317672473,9637.0,2085.0,2085.0,7552.0
416.235682392,9495.0,2041.0,2041.0,7454.0
419.639403893,9467.0,2180.0,2180.0,7287.0
427.353420939,9745.0,2025.0,2025.0,7720.0
412.761134216,9711.0,2047.0,2047.0,7664.0
409.421028371,9356.0,1888.0,1888.0,7468.0
415.882135647,9488.0,2086.0,2086.0,7402.0
422.395080658,9703.0,2022.0,2022.0,7681.0
422.710130297,9533.0,2033.0,2033.0,7500.0
411.3824997,9648.0,2054.0,2054.0,7594.0
413.185236498,9533.0,2013.0,2013.0,7520.0
416.562728097,9498.0,2075.0,2075.0,7423.0
420.922531953,9600.0,2029.0,2029.0,7571.0
424.584199863,9596.0,2110.0,2110.0,7486.0
