"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
538.850913946,9334.0,7540.0,2166.0,387.0,1568.0,304.0,598.0,83.0,1278.0,304.0,212.0,0.0
528.047664338,9199.0,7467.0,2079.0,397.0,1495.0,305.0,584.0,92.0,1211.0,305.0,216.0,0.0
531.070284121,9195.0,7439.0,2179.0,385.0,1543.0,299.0,636.0,86.0,1240.0,299.0,217.0,0.0
546.868300042,9234.0,7572.0,1996.0,366.0,1395.0,276.0,601.0,90.0,1149.0,276.0,237.0,0.0
545.332684006,9118.0,7439.0,2001.0,388.0,1427.0,289.0,574.0,99.0,1175.0,289.0,215.0,0.0
545.459058956,9250.0,7539.0,2000.0,404.0,1439.0,298.0,561.0,106.0,1202.0,298.0,211.0,0.0
547.743426521,9244.0,7517.0,2080.0,372.0,1511.0,282.0,569.0,90.0,1230.0,282.0,215.0,0.0
530.747478476,9300.0,7572.0,2094.0,368.0,1496.0,275.0,598.0,93.0,1231.0,275.0,222.0,0.0
531.839995825,9211.0,7495.0,2048.0,362.0,1505.0,276.0,543.0,86.0,1230.0,276.0,210.0,0.0
549.060551231,9197.0,7485.0,2091.0,384.0,1476.0,302.0,615.0,82.0,1184.0,302.0,226.0,0.0
545.26524313,9070.0,7360.0,2085.0,395.0,1494.0,293.0,591.0,102.0,1210.0,293.0,207.0,0.0
539.203902186,9305.0,7521.0,2152.0,410.0,1537.0,313.0,615.0,97.0,1259.0,313.0,212.0,0.0
528.527052268,9177.0,7436.0,2134.0,373.0,1544.0,287.0,590.0,86.0,1241.0,287.0,213.0,0.0
531.945826327,9207.0,7478.0,2086.0,359.0,1504.0,281.0,582.0,78.0,1230.0,281.0,218.0,0.0
543.035840364,9282.0,7587.0,2031.0,353.0,1494.0,283.0,537.0,70.0,1212.0,283.0,200.0,0.0
538.29501027,9186.0,7455.0,2104.0,370.0,1544.0,283.0,560.0,87.0,1250.0,283.0,198.0,0.0
539.439410803,9183.0,7477.0,2094.0,363.0,1487.0,285.0,607.0,78.0,1205.0,285.0,216.0,0.0
531.618246955,9389.0,7623.0,2085.0,394.0,1547.0,302.0,538.0,92.0,1273.0,302.0,191.0,0.0
535.220052074,9249.0,7466.0,2102.0,372.0,1492.0,302.0,610.0,70.0,1247.0,302.0,234.0,0.0
534.639795909,9309.0,7629.0,1974.0,378.0,1415.0,303.0,559.0,75.0,1176.0,303.0,201.0,0.0
537.880054253,9281.0,7533.0,2093.0,361.0,1515.0,281.0,578.0,80.0,1235.0,281.0,232.0,0.0
538.360894229,9179.0,7462.0,2058.0,360.0,1483.0,283.0,575.0,77.0,1209.0,283.0,225.0,0.0
533.666033701,9238.0,7433.0,2169.0,374.0,1553.0,298.0,616.0,76.0,1279.0,298.0,228.0,0.0
536.186296747,9295.0,7509.0,2121.0,384.0,1498.0,306.0,623.0,78.0,1243.0,306.0,237.0,0.0
533.691023236,9243.0,7478.0,2157.0,358.0,1576.0,280.0,581.0,78.0,1290.0,280.0,195.0,0.0
534.004930199,9175.0,7485.0,2072.0,339.0,1492.0,268.0,580.0,71.0,1210.0,268.0,212.0,0.0
539.842919874,9379.0,7615.0,2152.0,357.0,1536.0,281.0,616.0,76.0,1247.0,281.0,236.0,0.0
526.931812887,9214.0,7411.0,2182.0,368.0,1570.0,288.0,612.0,80.0,1280.0,288.0,235.0,0.0
528.07965124,9169.0,7490.0,2042.0,374.0,1452.0,291.0,590.0,83.0,1174.0,291.0,214.0,0.0
530.3419027,9125.0,7437.0,1991.0,397.0,1446.0,314.0,545.0,83.0,1174.0,314.0,200.0,0.0
536.63830633,9334.0,7557.0,2202.0,366.0,1517.0,278.0,685.0,88.0,1238.0,278.0,261.0,0.0
535.034922899,9124.0,7471.0,1973.0,409.0,1406.0,321.0,567.0,88.0,1127.0,321.0,205.0,0.0
525.50984047,9169.0,7496.0,2094.0,346.0,1475.0,265.0,619.0,81.0,1187.0,265.0,221.0,0.0
531.704538257,9273.0,7594.0,2032.0,359.0,1481.0,274.0,551.0,85.0,1212.0,274.0,193.0,0.0
531.875322932,9233.0,7530.0,2064.0,362.0,1485.0,284.0,579.0,78.0,1205.0,284.0,214.0,0.0
534.891918872,9265.0,7592.0,2062.0,360.0,1481.0,264.0,581.0,96.0,1185.0,264.0,224.0,0.0
537.754524561,9197.0,7537.0,2029.0,358.0,1487.0,282.0,542.0,76.0,1194.0,282.0,184.0,0.0
536.047306732,9278.0,7584.0,2054.0,360.0,1480.0,275.0,574.0,85.0,1213.0,275.0,206.0,0.0
534.872620403,9430.0,7614.0,2205.0,379.0,1572.0,289.0,633.0,90.0,1306.0,289.0,221.0,0.0
540.88250961,9348.0,7582.0,2130.0,378.0,1559.0,298.0,571.0,80.0,1267.0,298.0,201.0,0.0
542.529353593,9232.0,7535.0,2063.0,352.0,1484.0,269.0,579.0,83.0,1224.0,269.0,204.0,0.0
548.326297241,9203.0,7439.0,2132.0,386.0,1512.0,301.0,620.0,85.0,1235.0,301.0,228.0,0.0
534.943066063,9257.0,7503.0,2127.0,390.0,1514.0,287.0,613.0,103.0,1245.0,287.0,222.0,0.0
537.231531896,9224.0,7437.0,2169.0,407.0,1547.0,307.0,622.0,100.0,1260.0,307.0,220.0,0.0
540.680250853,9113.0,7429.0,1975.0,366.0,1422.0,272.0,553.0,94.0,1179.0,272.0,233.0,0.0
541.974229453,9347.0,7568.0,2096.0,425.0,1490.0,338.0,606.0,87.0,1208.0,338.0,233.0,0.0
543.91349581,9250.0,7462.0,2121.0,404.0,1532.0,309.0,589.0,95.0,1257.0,309.0,222.0,0.0
532.637423205,9041.0,7409.0,1976.0,360.0,1413.0,272.0,563.0,88.0,1169.0,272.0,191.0,0.0
532.782787753,9088.0,7396.0,2019.0,389.0,1470.0,295.0,549.0,94.0,1181.0,295.0,216.0,0.0
533.191299978,9074.0,7380.0,2072.0,363.0,1460.0,275.0,612.0,88.0,1189.0,275.0,230.0,0.0
540.745902377,9415.0,7643.0,2172.0,389.0,1573.0,310.0,599.0,79.0,1263.0,310.0,199.0,0.0
537.897142129,9113.0,7399.0,2064.0,368.0,1502.0,285.0,562.0,83.0,1221.0,285.0,208.0,0.0
535.040328138,9325.0,7647.0,2093.0,331.0,1517.0,245.0,576.0,86.0,1239.0,245.0,194.0,0.0
545.805640423,9259.0,7599.0,2018.0,362.0,1439.0,280.0,579.0,82.0,1167.0,280.0,213.0,0.0
539.817852927,9353.0,7593.0,2039.0,397.0,1466.0,308.0,573.0,89.0,1225.0,308.0,227.0,0.0
535.913319912,9176.0,7439.0,2022.0,387.0,1474.0,315.0,548.0,72.0,1210.0,315.0,212.0,0.0
546.663735498,9212.0,7502.0,2059.0,364.0,1458.0,297.0,601.0,67.0,1188.0,297.0,225.0,0.0
531.62061603,9214.0,7493.0,2060.0,366.0,1474.0,267.0,586.0,99.0,1225.0,267.0,229.0,0.0
536.257008167,9213.0,7432.0,2115.0,406.0,1529.0,303.0,586.0,103.0,1268.0,303.0,210.0,0.0
537.165396432,9154.0,7423.0,2058.0,390.0,1497.0,301.0,561.0,89.0,1218.0,301.0,212.0,0.0
547.95750974,9595.0,7725.0,2189.0,411.0,1597.0,329.0,592.0,82.0,1311.0,329.0,230.0,0.0
543.11522035,9180.0,7465.0,2070.0,365.0,1480.0,282.0,590.0,83.0,1209.0,282.0,224.0,0.0
532.116344069,9197.0,7475.0,2073.0,362.0,1518.0,278.0,555.0,84.0,1254.0,278.0,190.0,0.0
530.14292337,9193.0,7381.0,2138.0,397.0,1566.0,314.0,572.0,83.0,1278.0,314.0,220.0,0.0
532.861927849,9251.0,7503.0,2099.0,361.0,1520.0,273.0,579.0,88.0,1242.0,273.0,233.0,0.0
532.093116047,9032.0,7273.0,2162.0,375.0,1502.0,290.0,660.0,85.0,1238.0,290.0,231.0,0.0
536.609095727,9214.0,7504.0,2111.0,341.0,1523.0,266.0,588.0,75.0,1232.0,266.0,212.0,0.0
524.291780526,9148.0,7564.0,1970.0,319.0,1385.0,237.0,585.0,82.0,1128.0,237.0,219.0,0.0
530.007817629,9248.0,7492.0,2145.0,332.0,1581.0,269.0,564.0,63.0,1251.0,269.0,236.0,0.0
533.225610168,9223.0,7479.0,2100.0,383.0,1496.0,292.0,604.0,91.0,1227.0,292.0,225.0,0.0
533.640307789,9182.0,7453.0,2078.0,406.0,1495.0,311.0,583.0,95.0,1224.0,311.0,194.0,0.0
536.041194617,9244.0,7622.0,1973.0,359.0,1433.0,292.0,540.0,67.0,1152.0,292.0,178.0,0.0
525.749029278,9200.0,7497.0,2056.0,355.0,1474.0,278.0,582.0,77.0,1207.0,278.0,218.0,0.0
528.212145786,9191.0,7557.0,2013.0,344.0,1428.0,271.0,585.0,73.0,1154.0,271.0,209.0,0.0
528.993519621,9094.0,7470.0,2011.0,371.0,1438.0,297.0,573.0,74.0,1121.0,297.0,206.0,0.0
533.708590252,9207.0,7538.0,2016.0,340.0,1449.0,253.0,567.0,87.0,1195.0,253.0,221.0,0.0
536.858927182,9241.0,7509.0,2069.0,374.0,1505.0,281.0,564.0,93.0,1245.0,281.0,206.0,0.0
526.930258984,9123.0,7317.0,2160.0,407.0,1559.0,314.0,601.0,93.0,1292.0,314.0,200.0,0.0
530.909378712,9174.0,7498.0,2034.0,377.0,1458.0,277.0,576.0,100.0,1191.0,277.0,208.0,0.0
529.943184735,9077.0,7430.0,1976.0,365.0,1399.0,288.0,577.0,77.0,1134.0,288.0,225.0,0.0
536.327927928,9349.0,7611.0,2140.0,348.0,1539.0,265.0,601.0,83.0,1264.0,265.0,209.0,0.0
534.440816342,9089.0,7397.0,2108.0,350.0,1531.0,269.0,577.0,81.0,1223.0,269.0,200.0,0.0
527.292568207,9184.0,7463.0,2090.0,389.0,1536.0,317.0,554.0,72.0,1216.0,317.0,188.0,0.0
537.971977568,9094.0,7379.0,2056.0,366.0,1522.0,297.0,534.0,69.0,1230.0,297.0,188.0,0.0
539.021525411,9367.0,7575.0,2155.0,394.0,1570.0,311.0,585.0,83.0,1294.0,311.0,187.0,0.0
539.910563524,9242.0,7497.0,2108.0,353.0,1504.0,276.0,604.0,77.0,1233.0,276.0,236.0,0.0
544.274828764,9278.0,7545.0,2124.0,382.0,1496.0,295.0,628.0,87.0,1187.0,295.0,251.0,0.0
534.366789398,9305.0,7499.0,2154.0,413.0,1558.0,318.0,596.0,95.0,1267.0,318.0,221.0,0.0
535.672679836,9175.0,7457.0,2055.0,385.0,1496.0,297.0,559.0,88.0,1215.0,297.0,206.0,0.0
533.426629141,9026.0,7424.0,1917.0,367.0,1343.0,279.0,574.0,88.0,1099.0,279.0,224.0,0.0
546.100876144,9174.0,7434.0,2083.0,359.0,1533.0,290.0,550.0,69.0,1259.0,290.0,191.0,0.0
540.015990101,9300.0,7508.0,2103.0,410.0,1512.0,316.0,591.0,94.0,1229.0,316.0,247.0,0.0
529.400238056,9136.0,7384.0,2119.0,370.0,1503.0,308.0,616.0,62.0,1210.0,308.0,234.0,0.0
535.56706694,9199.0,7515.0,2100.0,341.0,1500.0,262.0,600.0,79.0,1217.0,262.0,205.0,0.0
537.01155852,9198.0,7498.0,2093.0,349.0,1480.0,273.0,613.0,76.0,1209.0,273.0,218.0,0.0
542.335716193,9211.0,7443.0,2127.0,386.0,1511.0,293.0,616.0,93.0,1259.0,293.0,216.0,0.0
544.72166891,9321.0,7615.0,2073.0,373.0,1442.0,286.0,631.0,87.0,1192.0,286.0,228.0,0.0
533.240499467,9288.0,7467.0,2185.0,429.0,1544.0,335.0,641.0,94.0,1242.0,335.0,244.0,0.0
532.067676515,9349.0,7588.0,2134.0,379.0,1523.0,307.0,611.0,72.0,1221.0,307.0,233.0,0.0
462.393322927,9311.0,7515.0,2197.0,380.0,1558.0,296.0,639.0,84.0,1260.0,296.0,240.0,0.0
